,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB04537,1.91428571428571,-0.579304986808284,0.28119170062801,1,33
DB03216,1.97142857142857,-0.503776541207599,0.307209207190071,1,40
DB03273,1.97142857142857,-0.37705250144441,0.353067294395931,1,40
DB03769,1.97142857142857,-0.449335317006231,0.326594892253053,1,40
DB04147,1.84285714285714,-1.3573014399828,0.0873427249953671,2,85.5
DB01159,2.05714285714286,-0.366122674362698,0.357136769362715,1,8
DB00795,1.94285714285714,-0.523948906166871,0.300157038848,1,32
DB08515,1.85714285714286,-1.09779578587642,0.136146836019404,1,61
DB01003,2.31428571428571,0.982204908382554,0.837000545021821,1,21
DB00831,1.94285714285714,-0.630642254008794,0.26413723216432,1,49
DB00161,1.88571428571429,-0.76525966125584,0.222058469714956,1,51
DB04967,1.88571428571429,-0.804913121050953,0.21043490808312,1,60
DB00031,1.87142857142857,-1.45216945598395,0.0732272466418517,2,85.5
DB01065,1.97142857142857,-0.578297308250572,0.28153170570883,1,67
DB06245,1.87142857142857,-1.23315233783523,0.10875946690042,2,85.5
DB02386,2.11428571428571,0.0116445229351066,0.50464538755186,1,18
DB07448,2.11428571428571,-0.0858831403500438,0.465779657018845,1,18
DB08766,2.11428571428571,-0.0224126173434532,0.491059407847949,1,18
DB00768,2.14285714285714,0.185045796337321,0.573403442245418,1,21
DB03929,2.31428571428571,0.727943091559333,0.766675788336431,1,16
DB04522,2.31428571428571,0.65389281335266,0.74340956782517,1,16
DB00140,2.14285714285714,0.0581855541159797,0.523199586313878,1,9
DB04345,2.14285714285714,-0.00538364418270068,0.497852247087833,1,9
DB04363,2.14285714285714,0.0425893405636369,0.516985553610227,1,9
DB00995,1.97142857142857,-0.473072020018614,0.318080899017958,1,36
DB03608,1.97142857142857,-0.583095295810431,0.279914575172052,1,36
DB02563,1.91428571428571,-0.699516839076048,0.242114546631916,1,42
DB02910,1.91428571428571,-0.695508405159205,0.243368372804984,1,42
DB03059,1.98571428571429,-0.587074281298392,0.278576909830069,2,29
DB04117,1.91428571428571,-0.606610696891406,0.272054649835913,1,42
DB09568,1.94285714285714,-1.22440406437931,0.110399918419703,3,63.3333333333333
DB00441,2.08571428571429,-0.114551610630723,0.454400268123831,1,8
DB03403,2.08571428571429,-0.0151403835978071,0.493960091598144,1,8
DB03435,2.08571428571429,-0.195386139518338,0.422545333283989,1,8
DB03664,2.08571428571429,-0.0591618256589152,0.476411607534624,1,8
DB04444,2.22857142857143,0.845544838240557,0.801096645419854,3,11
DB02506,1.78571428571429,-1.58364442042184,0.0566373296779192,2,117.5
