,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB11136,2.105263158,0.033640809,0.51341821,1,7
DB14526,2.105263158,0.120565782,0.547982514,1,7
DB14527,2.105263158,-0.045016804,0.482046958,1,7
DB14528,2.105263158,0.124237266,0.549436292,1,7
DB14529,2.105263158,0.119295565,0.547479402,1,7
DB14530,2.105263158,0.23778896,0.593977609,1,7
DB01213,2.894736842,2.582988658,0.995102573,1,8
DB01711,2.894736842,2.826645799,0.997648084,1,8
DB02131,2.894736842,3.15623315,0.999200895,1,8
DB02249,2.894736842,3.243863757,0.999410399,1,8
DB02721,2.894736842,2.958033007,0.998451955,1,8
DB02757,2.894736842,3.699237068,0.999891876,1,8
DB02822,2.894736842,4.005830513,0.9999691,1,8
DB02871,2.894736842,3.084208733,0.998979528,1,8
DB03020,2.894736842,3.383924749,0.999642712,1,8
DB03061,2.894736842,3.237621226,0.999397346,1,8
DB03226,2.894736842,3.472125769,0.999741823,1,8
DB03559,2.894736842,4.917603472,0.999999562,1,8
DB04071,2.894736842,3.585507172,0.999831788,1,8
DB04113,2.894736842,3.175813767,0.999252916,1,8
DB04312,2.894736842,5.850559602,0.999999998,1,8
DB04448,2.894736842,2.968686417,0.998504622,1,8
DB02483,1.894736842,-0.873436061,0.191212721,1,80
DB00162,2.263157895,0.634464321,0.737111078,1,14
DB00755,2.263157895,0.743250381,0.771334947,1,14
DB05412,1.921052632,-0.685935051,0.246377033,1,34
DB00988,1.526315789,-2.376108735,0.008748153,1,204
DB01064,1.526315789,-1.877943128,0.030194473,1,204
DB01629,1.526315789,-2.028230936,0.021268342,1,204
DB05025,1.526315789,-2.473828305,0.006683696,1,204
DB02783,1.947368421,-0.512315238,0.304215201,1,34
DB02459,2.315789474,0.902332616,0.816559898,1,6
DB04491,2.315789474,0.95734085,0.830802378,1,6
DB06503,2.315789474,0.622479052,0.733186543,1,6
DB00125,1.921052632,-0.725447844,0.234088665,1,49
DB00028,1.947368421,-0.581905318,0.280315229,1,25
DB06492,1.947368421,-0.626158774,0.265605402,1,25
DB01710,2.105263158,0.120595852,0.547994423,1,4
DB01826,2.105263158,0.107130733,0.542657367,1,4
DB02396,2.105263158,-0.040787882,0.4837325,1,4
DB02528,2.105263158,0.13580213,0.554011147,1,4
DB02646,2.105263158,-0.011164498,0.495546102,1,4
DB02671,2.105263158,0.080881242,0.532231801,1,4
DB03385,2.105263158,0.107011047,0.542609892,1,4
DB03399,2.105263158,0.05349958,0.521333067,1,4
DB04050,2.105263158,-0.22787883,0.40987022,1,4
DB04337,2.105263158,0.127634633,0.550780939,1,4
DB09112,2.105263158,0.272807862,0.607499542,1,4
DB11588,2.105263158,-0.019598228,0.492181939,1,4
