,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB01631,2.542857143,2.744674964,0.996971457,1,8
DB01672,2.542857143,1.620880902,0.947478408,1,8
DB01926,2.542857143,1.4920731,0.932160009,1,8
DB02710,2.542857143,2.476511871,0.993366339,1,8
DB04043,2.542857143,2.11357418,0.982724173,1,8
DB04476,2.542857143,1.32667037,0.907691127,1,8
DB01017,1.971428571,-0.50709423,0.306044352,1,48
DB02110,1.971428571,-0.46308361,0.321652219,1,48
DB03317,1.971428571,-0.344144486,0.365368814,1,48
DB03934,1.971428571,-0.49223788,0.311275594,1,48
DB03977,1.971428571,-0.463674143,0.321440613,1,48
DB04249,1.971428571,-0.462431024,0.321886128,1,48
DB04478,2.028571429,-0.303196835,0.380869931,1,22
DB00313,2,-0.36587188,0.35723034,1,29
DB04707,1.8,-1.012234392,0.155712998,1,64
DB07876,1.8,-0.938757014,0.173927757,1,64
DB08162,1.8,-1.212383293,0.112682847,1,64
DB08756,1.8,-1.276210655,0.100940532,1,64
DB13165,1.8,-1.075258243,0.141129563,1,64
DB13931,1.8,-1.171294701,0.12074017,1,64
DB00491,2.028571429,-0.227261484,0.410110211,1,31
DB04066,2.2,0.592667947,0.723298302,1,12
DB07177,2.2,0.389296667,0.651471649,1,12
DB00997,1.828571429,-1.037715293,0.149701311,1,91
DB00123,1.942857143,-0.542405809,0.293769489,1,74
DB00316,1.885714286,-0.807115081,0.209800092,1,84
DB05036,1.885714286,-0.757108288,0.224492494,1,84
DB08605,2.028571429,-0.232118281,0.408223073,1,20
DB02761,2.2,0.466238672,0.679477664,1,6
DB03889,2.171428571,0.270137455,0.606472746,1,5
DB03612,2.085714286,0.076842099,0.53062542,1,14
DB01944,2.171428571,0.285199393,0.612254307,1,8
DB03126,2.171428571,0.304371689,0.619577633,1,8
DB07468,2.171428571,0.075309683,0.530015841,1,8
DB07469,2.171428571,0.251326689,0.599219229,1,8
DB07470,2.171428571,0.357526968,0.639651329,1,8
DB08276,2.171428571,0.27009405,0.60645605,1,8
DB04964,2.657142857,2.822769579,0.997619461,1,5
DB05786,1.942857143,-0.525676531,0.299556487,1,44
DB06774,1.828571429,-0.921571387,0.178376094,1,95
DB03964,2.028571429,-0.182832767,0.427464619,1,31
DB04072,2.028571429,-0.29065423,0.38565789,1,31
DB04351,2.028571429,-0.346395692,0.364522681,1,31
DB04562,2.028571429,-0.104286778,0.458470885,1,31
DB07574,1.771428571,-1.109219404,0.133667772,1,110
DB07664,2.085714286,-0.080332609,0.467986362,1,9
DB07853,2.085714286,-0.071341863,0.471562839,1,9
DB12010,2.085714286,-0.150691753,0.44010944,1,9
DB03661,2.142857143,0.150933887,0.559986066,1,4
DB00167,1.971428571,-0.472373319,0.318330173,1,33
DB12339,2,-0.247847287,0.402126283,1,16
DB00149,1.971428571,-0.522285257,0.300735866,1,55
DB00141,2.314285714,0.82997692,0.796724083,1,16
DB04700,2,-0.40940246,0.341122167,1,29
DB02772,1.971428571,-0.473026665,0.318097078,1,29
