"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83"
"Melanoma_Homo sapiens_hsa05218",NA,21271,150,83,70,2,0.0285714285714286,0.00259772825588755,0.761134378975052,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261",NA,21271,150,83,147,3,0.0204081632653061,0.00263618931501398,0.772403469299097,"PPP2R5A","PPP2R2A","PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prolactin signaling pathway_Homo sapiens_hsa04917",NA,21271,150,83,71,2,0.028169014084507,0.00270476203999511,0.792495277718567,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chronic myeloid leukemia_Homo sapiens_hsa05220",NA,21271,150,83,72,2,0.0277777777777778,0.00281448264427797,0.824643414773445,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B cell receptor signaling pathway_Homo sapiens_hsa04662",NA,21271,150,83,72,2,0.0277777777777778,0.00281448264427797,0.824643414773445,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932",NA,21271,150,83,150,3,0.02,0.00283534952888211,0.830757411962458,"COX7A1","CASP8","NDUFA3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Proximal tubule bicarbonate reclamation_Homo sapiens_hsa04964",NA,21271,150,83,22,1,0.0454545454545455,0.00330314410333671,0.967821222277656,"CA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oxytocin signaling pathway_Homo sapiens_hsa04921",NA,21271,150,83,157,3,0.0191082802547771,0.00333967485521582,0.978524732578236,"MAP2K2","MAP2K1","EEF2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate_Homo sapiens_hsa00532",NA,21271,150,83,19,0,0,0.0716208204614897,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin_Homo sapiens_hsa00534",NA,21271,150,83,23,0,0,0.0860402840359041,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563",NA,21271,150,83,24,0,0,0.0896104391763892,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Steroid biosynthesis_Homo sapiens_hsa00100",NA,21271,150,83,19,0,0,0.0716208204614897,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SNARE interactions in vesicular transport_Homo sapiens_hsa04130",NA,21271,150,83,33,0,0,0.121128063266488,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Protein export_Homo sapiens_hsa03060",NA,21271,150,83,22,0,0,0.0824562976225518,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141",NA,21271,150,83,168,1,0.00595238095238095,0.139803290760837,1,"HSPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N-Glycan biosynthesis_Homo sapiens_hsa00510",NA,21271,150,83,48,0,0,0.171278955769135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other types of O-glycan biosynthesis_Homo sapiens_hsa00514",NA,21271,150,83,30,0,0,0.110743852256187,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycosaminoglycan biosynthesis - keratan sulfate_Homo sapiens_hsa00533",NA,21271,150,83,14,0,0,0.0532800869024861,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycosphingolipid biosynthesis - lacto and neolacto series_Homo sapiens_hsa00601",NA,21271,150,83,25,0,0,0.0931668157730077,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycosphingolipid biosynthesis - globo series_Homo sapiens_hsa00603",NA,21271,150,83,13,0,0,0.0495692130990815,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycosphingolipid biosynthesis - ganglio series_Homo sapiens_hsa00604",NA,21271,150,83,14,0,0,0.0532800869024861,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mucin type O-Glycan biosynthesis_Homo sapiens_hsa00512",NA,21271,150,83,30,0,0,0.110743852256187,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sphingolipid metabolism_Homo sapiens_hsa00600",NA,21271,150,83,46,0,0,0.16475918499474,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other glycan degradation_Homo sapiens_hsa00511",NA,21271,150,83,17,0,0,0.0643270369558503,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycosaminoglycan degradation_Homo sapiens_hsa00531",NA,21271,150,83,18,0,0,0.0679809776697234,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lysosome_Homo sapiens_hsa04142",NA,21271,150,83,122,0,0,0.380190376500846,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Synaptic vesicle cycle_Homo sapiens_hsa04721",NA,21271,150,83,62,1,0.0161290322580645,0.024453868493411,1,"STXBP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Collecting duct acid secretion_Homo sapiens_hsa04966",NA,21271,150,83,26,1,0.0384615384615385,0.00460055119280391,1,"CA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vibrio cholerae infection_Homo sapiens_hsa05110",NA,21271,150,83,50,0,0,0.177748442572075,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120",NA,21271,150,83,67,0,0,0.230762248559767,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rheumatoid arthritis_Homo sapiens_hsa05323",NA,21271,150,83,89,0,0,0.294383111912854,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phagosome_Homo sapiens_hsa04145",NA,21271,150,83,153,1,0.0065359477124183,0.120172097563847,1,"TUBA4A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuberculosis_Homo sapiens_hsa05152",NA,21271,150,83,177,1,0.00564971751412429,0.151896954428845,1,"CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toxoplasmosis_Homo sapiens_hsa05145",NA,21271,150,83,117,2,0.0170940170940171,0.0108301453791548,1,"HSPA2","CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Leishmaniasis_Homo sapiens_hsa05140",NA,21271,150,83,72,0,0,0.245701594358283,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321",NA,21271,150,83,64,0,0,0.221658720758189,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Asthma_Homo sapiens_hsa05310",NA,21271,150,83,30,0,0,0.110743852256187,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intestinal immune network for IgA production_Homo sapiens_hsa04672",NA,21271,150,83,47,0,0,0.168025379936811,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Viral myocarditis_Homo sapiens_hsa05416",NA,21271,150,83,58,1,0.0172413793103448,0.0215909417714554,1,"CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Autoimmune thyroid disease_Homo sapiens_hsa05320",NA,21271,150,83,52,0,0,0.184168028527114,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Allograft rejection_Homo sapiens_hsa05330",NA,21271,150,83,37,0,0,0.134787533055123,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Type I diabetes mellitus_Homo sapiens_hsa04940",NA,21271,150,83,42,0,0,0.151567244491049,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Graft-versus-host disease_Homo sapiens_hsa05332",NA,21271,150,83,40,0,0,0.144894293902911,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigen processing and presentation_Homo sapiens_hsa04612",NA,21271,150,83,76,1,0.0131578947368421,0.0355912068002996,1,"HSPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514",NA,21271,150,83,141,0,0,0.424828866215606,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Staphylococcus aureus infection_Homo sapiens_hsa05150",NA,21271,150,83,55,0,0,0.19370467436222,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Complement and coagulation cascades_Homo sapiens_hsa04610",NA,21271,150,83,78,0,0,0.263250834705053,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pertussis_Homo sapiens_hsa05133",NA,21271,150,83,74,1,0.0135135135135135,0.033898771024828,1,"CFL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaria_Homo sapiens_hsa05144",NA,21271,150,83,48,0,0,0.171278955769135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"African trypanosomiasis_Homo sapiens_hsa05143",NA,21271,150,83,34,0,0,0.124562773255605,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Regulation of autophagy_Homo sapiens_hsa04140",NA,21271,150,83,38,1,0.0263157894736842,0.00965484557336098,1,"GABARAPL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jak-STAT signaling pathway_Homo sapiens_hsa04630",NA,21271,150,83,157,0,0,0.459944224592469,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060",NA,21271,150,83,264,0,0,0.646048983616591,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hematopoietic cell lineage_Homo sapiens_hsa04640",NA,21271,150,83,87,0,0,0.288821026799846,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Transcriptional misregulation in cancer_Homo sapiens_hsa05202",NA,21271,150,83,179,0,0,0.504792987675538,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alcoholism_Homo sapiens_hsa05034",NA,21271,150,83,178,1,0.00561797752808989,0.153253549335949,1,"MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Systemic lupus erythematosus_Homo sapiens_hsa05322",NA,21271,150,83,134,0,0,0.408765341263568,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phosphatidylinositol signaling system_Homo sapiens_hsa04070",NA,21271,150,83,97,1,0.0103092783505155,0.0551943781785729,1,"IMPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Calcium signaling pathway_Homo sapiens_hsa04020",NA,21271,150,83,179,0,0,0.504792987675538,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Renin secretion_Homo sapiens_hsa04924",NA,21271,150,83,63,0,0,0.218600622477618,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GnRH signaling pathway_Homo sapiens_hsa04912",NA,21271,150,83,90,2,0.0222222222222222,0.00527240650414152,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750",NA,21271,150,83,97,0,0,0.316204914543543,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vascular smooth muscle contraction_Homo sapiens_hsa04270",NA,21271,150,83,119,2,0.0168067226890756,0.0113370087372233,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cGMP-PKG signaling pathway_Homo sapiens_hsa04022",NA,21271,150,83,166,2,0.0120481927710843,0.0272239574960954,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cAMP signaling pathway_Homo sapiens_hsa04024",NA,21271,150,83,198,2,0.0101010101010101,0.0424420695386693,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923",NA,21271,150,83,55,0,0,0.19370467436222,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Platelet activation_Homo sapiens_hsa04611",NA,21271,150,83,121,0,0,0.377748443679351,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chemokine signaling pathway_Homo sapiens_hsa04062",NA,21271,150,83,186,1,0.00537634408602151,0.164190390737602,1,"MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morphine addiction_Homo sapiens_hsa05032",NA,21271,150,83,90,0,0,0.297148016157554,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retrograde endocannabinoid signaling_Homo sapiens_hsa04723",NA,21271,150,83,100,0,0,0.324215040420149,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glutamatergic synapse_Homo sapiens_hsa04724",NA,21271,150,83,113,1,0.00884955752212389,0.0721133946346134,1,"GLUL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Circadian entrainment_Homo sapiens_hsa04713",NA,21271,150,83,94,0,0,0.308101001383019,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Serotonergic synapse_Homo sapiens_hsa04726",NA,21271,150,83,111,1,0.00900900900900901,0.0699152602144012,1,"MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cholinergic synapse_Homo sapiens_hsa04725",NA,21271,150,83,110,1,0.00909090909090909,0.0688247153575422,1,"MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aldosterone synthesis and secretion_Homo sapiens_hsa04925",NA,21271,150,83,80,0,0,0.269010460424248,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Insulin secretion_Homo sapiens_hsa04911",NA,21271,150,83,84,0,0,0.280396586515641,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thyroid hormone synthesis_Homo sapiens_hsa04918",NA,21271,150,83,70,0,0,0.239760568934424,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gastric acid secretion_Homo sapiens_hsa04971",NA,21271,150,83,73,1,0.0136986301369863,0.033064806202478,1,"CA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Salivary secretion_Homo sapiens_hsa04970",NA,21271,150,83,88,0,0,0.291607462542653,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pancreatic secretion_Homo sapiens_hsa04972",NA,21271,150,83,95,1,0.0105263157894737,0.0531925635868393,1,"CA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961",NA,21271,150,83,46,0,0,0.16475918499474,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bile secretion_Homo sapiens_hsa04976",NA,21271,150,83,70,1,0.0142857142857143,0.0306128301924853,1,"CA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ovarian steroidogenesis_Homo sapiens_hsa04913",NA,21271,150,83,49,0,0,0.174519960653984,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962",NA,21271,150,83,43,0,0,0.154884401149735,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cocaine addiction_Homo sapiens_hsa05030",NA,21271,150,83,48,0,0,0.171278955769135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amphetamine addiction_Homo sapiens_hsa05031",NA,21271,150,83,66,0,0,0.227739488718391,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adipocytokine signaling pathway_Homo sapiens_hsa04920",NA,21271,150,83,69,1,0.0144927536231884,0.0298123987085825,1,"ACACB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Insulin resistance_Homo sapiens_hsa04931",NA,21271,150,83,108,2,0.0185185185185185,0.00871478062412845,1,"ACACB","GYS1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Type II diabetes mellitus_Homo sapiens_hsa04930",NA,21271,150,83,47,1,0.0212765957446809,0.0145142176595186,1,"PKM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longevity regulating pathway - multiple species_Homo sapiens_hsa04213",NA,21271,150,83,63,1,0.0158730158730159,0.0251926254566699,1,"HSPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longevity regulating pathway - mammal_Homo sapiens_hsa04211",NA,21271,150,83,93,0,0,0.305378668276349,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mTOR signaling pathway_Homo sapiens_hsa04150",NA,21271,150,83,59,0,0,0.206249074144193,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960",NA,21271,150,83,38,1,0.0263157894736842,0.00965484557336098,1,"NEDD4L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
