"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83"
"Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250",NA,21271,150,83,34,4,0.117647058823529,2.03833095941542e-07,5.97230971108718e-05,"GPT","PPAT","GLUL","ADSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cysteine and methionine metabolism_Homo sapiens_hsa00270",NA,21271,150,83,44,4,0.0909090909090909,7.71596349602959e-07,0.000226077730433667,"GCLC","ADI1","LDHB","LDHA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520",NA,21271,150,83,47,4,0.0851063829787234,1.07990267124268e-06,0.000316411482674106,"GPI","UAP1","UGP2","GMPPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Insulin signaling pathway_Homo sapiens_hsa04910",NA,21271,150,83,138,6,0.0434782608695652,1.1430723201372e-06,0.0003349201898002,"MAP2K2","MAP2K1","FASN","PRKAR1A","ACACB","GYS1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thyroid cancer_Homo sapiens_hsa05216",NA,21271,150,83,28,3,0.107142857142857,4.10838960444719e-06,0.00120375815410303,"MAP2K2","MAP2K1","TFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Galactose metabolism_Homo sapiens_hsa00052",NA,21271,150,83,29,3,0.103448275862069,4.75159872416237e-06,0.00139221842617958,"PFKL","PFKP","UGP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Renal cell carcinoma_Homo sapiens_hsa05211",NA,21271,150,83,65,4,0.0615384615384615,5.50401640312944e-06,0.00161267680611693,"TCEB2","TCEB1","MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sphingolipid signaling pathway_Homo sapiens_hsa04071",NA,21271,150,83,119,5,0.0420168067226891,7.17427109592532e-06,0.00210206143110612,"MAP2K2","MAP2K1","PPP2R5A","PPP2R2A","PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fatty acid biosynthesis_Homo sapiens_hsa00061",NA,21271,150,83,12,2,0.166666666666667,1.22874408234044e-05,0.00360022016125748,"ACACB","FASN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peroxisome_Homo sapiens_hsa04146",NA,21271,150,83,82,4,0.0487804878048781,1.72627684564001e-05,0.00505799115772522,"PHYH","NUDT7","NUDT12","XDH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nitrogen metabolism_Homo sapiens_hsa00910",NA,21271,150,83,16,2,0.125,3.09262219851356e-05,0.00906138304164474,"CA2","GLUL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arginine biosynthesis_Homo sapiens_hsa00220",NA,21271,150,83,19,2,0.105263157894737,5.30627376494293e-05,0.0155473821312828,"GPT","GLUL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Purine metabolism_Homo sapiens_hsa00230",NA,21271,150,83,175,5,0.0285714285714286,6.3591428966512e-05,0.018632288687188,"AK4","PPAT","PKM","XDH","ADSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long-term depression_Homo sapiens_hsa04730",NA,21271,150,83,59,3,0.0508474576271186,8.33004109751124e-05,0.0244070204157079,"MAP2K2","MAP2K1","PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Caffeine metabolism_Homo sapiens_hsa00232",NA,21271,150,83,4,1,0.25,8.98007657769979e-05,0.0263116243726604,"XDH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glyoxylate and dicarboxylate metabolism_Homo sapiens_hsa00630",NA,21271,150,83,27,2,0.0740740740740741,0.000156604944627994,0.0458852487760024,"PGP","GLUL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ubiquitin mediated proteolysis_Homo sapiens_hsa04120",NA,21271,150,83,136,4,0.0294117647058824,0.000193193097803237,0.0566055776563484,"UBE2F","TCEB2","TCEB1","NEDD4L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Apoptosis_Homo sapiens_hsa04210",NA,21271,150,83,139,4,0.0287769784172662,0.000213852683276468,0.0626588362000051,"TUBA4A","MAP2K2","MAP2K1","CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNA degradation_Homo sapiens_hsa03018",NA,21271,150,83,76,3,0.0394736842105263,0.000223297040371348,0.065426032828805,"PFKL","PFKP","ENO1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prion diseases_Homo sapiens_hsa05020",NA,21271,150,83,34,2,0.0588235294117647,0.000314136323685002,0.0920419428397057,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hippo signaling pathway_Homo sapiens_hsa04390",NA,21271,150,83,152,4,0.0263157894736842,0.000323467758089582,0.0947760531202475,"MOB1A","MOB1B","PPP2R2A","PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PI3K-Akt signaling pathway_Homo sapiens_hsa04151",NA,21271,150,83,340,6,0.0176470588235294,0.00036765607135424,0.107723228906792,"GYS1","PPP2CB","MAP2K2","MAP2K1","PPP2R5A","PPP2R2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gap junction_Homo sapiens_hsa04540",NA,21271,150,83,87,3,0.0344827586206897,0.000375015410235186,0.10987951519891,"TUBA4A","MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GABAergic synapse_Homo sapiens_hsa04727",NA,21271,150,83,87,3,0.0344827586206897,0.000375015410235186,0.10987951519891,"GABARAPL2","GPHN","GLUL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mRNA surveillance pathway_Homo sapiens_hsa03015",NA,21271,150,83,90,3,0.0333333333333333,0.000426696592294615,0.125022101542322,"PPP2R5A","PPP2R2A","PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
