"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"dermatan sulfate metabolic process (GO:0030205)",NA,21271,74,67,12,2,0.166666666666667,6.43909556196567e-06,0.0334317841577257,"DCN","CHST12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of neuron death (GO:1901214)",NA,21271,74,67,224,6,0.0267857142857143,6.65103719396565e-06,0.0345321851110696,"HMOX1","CRLF1","BBC3","AGT","CHP1","MCL1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of BMP signaling pathway (GO:0030514)",NA,21271,74,67,39,3,0.0769230769230769,6.80449380419284e-06,0.0353289318313692,"TCF7L2","FBN1","CHRDL1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of cell-cell adhesion (GO:0022408)",NA,21271,74,67,40,3,0.075,7.54266939457502e-06,0.0391615394966335,"GTPBP4","LEF1","SERPINE2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of DNA binding (GO:0043392)",NA,21271,74,67,41,3,0.0731707317073171,8.33832902523801e-06,0.0432926042990357,"ID1","LEF1","HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of glycoprotein metabolic process (GO:1903020)",NA,21271,74,67,13,2,0.153846153846154,8.35195133699971e-06,0.0433633313417025,"TCF7L2","CHP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"xenobiotic metabolic process (GO:0006805)",NA,21271,74,67,155,5,0.032258064516129,9.39686330804095e-06,0.0487885142953486,"MGST1","SULT1A1","MAOA","FMO1","UGT1A6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"anion transport (GO:0006820)",NA,21271,74,67,442,8,0.0180995475113122,9.79489344282982e-06,0.0508550867551724,"PPARG","PLIN2","CLCA2","CLCA1","SLC25A26","AQP1","SLC1A3","SLC3A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of sequence-specific DNA binding transcription factor activity (GO:0051090)",NA,21271,74,67,337,7,0.0207715133531157,1.05669921709391e-05,0.054863823351516,"HMOX1","ID1","TAX1BP1","PPARG","AGT","CHP1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of lymphocyte apoptotic process (GO:0070230)",NA,21271,74,67,14,2,0.142857142857143,1.06057930943229e-05,0.0550652777457243,"BBC3","SIGLEC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of binding (GO:0051100)",NA,21271,74,67,94,4,0.0425531914893617,1.17739975461329e-05,0.0611305952595219,"GTPBP4","ID1","LEF1","HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V(D)J recombination (GO:0033151)",NA,21271,74,67,15,2,0.133333333333333,1.32273583711779e-05,0.0686764446631557,"LEF1","TCF7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of apoptotic signaling pathway (GO:2001235)",NA,21271,74,67,167,5,0.029940119760479,1.43740025431322e-05,0.0746298212039424,"AGT","SIGLEC1","BBC3","MCL1","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to hypoxia (GO:0071456)",NA,21271,74,67,98,4,0.0408163265306122,1.44260766662616e-05,0.0749001900512303,"AQP1","HMOX1","CLCA1","BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of endopeptidase activity (GO:0052548)",NA,21271,74,67,353,7,0.0198300283286119,1.47761099880478e-05,0.0767175630579443,"LEF1","SERPINE2","AQP1","C4B","BBC3","PPARG","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cell-matrix adhesion (GO:0007160)",NA,21271,74,67,99,4,0.0404040404040404,1.515661596325e-05,0.0786931500811939,"AGT","SIGLEC1","ITGA7","ITGB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of apoptotic signaling pathway (GO:2001233)",NA,21271,74,67,355,7,0.0197183098591549,1.53898676571124e-05,0.0799041928757278,"HMOX1","SIGLEC1","BBC3","AGT","MCL1","TCF7L2","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein import (GO:0017038)",NA,21271,74,67,100,4,0.04,1.59156854250928e-05,0.0826342387270818,"AGT","TIMM22","TCF7L2","TXNIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to decreased oxygen levels (GO:0036294)",NA,21271,74,67,100,4,0.04,1.59156854250928e-05,0.0826342387270818,"AQP1","HMOX1","CLCA1","BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of glial cell differentiation (GO:0045685)",NA,21271,74,67,49,3,0.0612244897959184,1.71181522996609e-05,0.0888774467398396,"SERPINE2","TCF7L2","PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein oligomerization (GO:0051259)",NA,21271,74,67,365,7,0.0191780821917808,1.87908315752554e-05,0.0975619975387259,"MGST1","HMOX1","TOR1B","SQSTM1","TOR2A","CHP1","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of peptidase activity (GO:0052547)",NA,21271,74,67,371,7,0.0188679245283019,2.11196306682142e-05,0.109653122429368,"LEF1","SERPINE2","AQP1","C4B","BBC3","PPARG","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to oxygen levels (GO:0071453)",NA,21271,74,67,108,4,0.037037037037037,2.31117097870824e-05,0.119995997214532,"AQP1","HMOX1","CLCA1","BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"secretory granule organization (GO:0033363)",NA,21271,74,67,18,2,0.111111111111111,2.35620149308438e-05,0.122333981520941,"SERPINE2","AQP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to external stimulus (GO:0071496)",NA,21271,74,67,184,5,0.0271739130434783,2.48731924934028e-05,0.129141615425747,"AGT","SQSTM1","AQP1","HMOX1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of neuron apoptotic process (GO:0043523)",NA,21271,74,67,187,5,0.0267379679144385,2.72429294647074e-05,0.141445289780761,"AGT","HMOX1","CRLF1","BBC3","MCL1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein-DNA complex assembly (GO:0065004)",NA,21271,74,67,112,4,0.0357142857142857,2.75466192776226e-05,0.143022047289417,"CENPV","HIST1H1B","HIST1H1C","HIST1H1D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"peptide metabolic process (GO:0006518)",NA,21271,74,67,112,4,0.0357142857142857,2.75466192776226e-05,0.143022047289417,"AGT","ATP6AP2","MGST1","ECE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"execution phase of apoptosis (GO:0097194)",NA,21271,74,67,19,2,0.105263157894737,2.79168524895586e-05,0.144944298125788,"CIDEC","BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)",NA,21271,74,67,56,3,0.0535714285714286,2.91871987212483e-05,0.151539935760721,"AGT","SIGLEC1","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chromatin assembly or disassembly (GO:0006333)",NA,21271,74,67,57,3,0.0526315789473684,3.13158540461827e-05,0.16259191420778,"CENPV","HIST1H1C","HIST1H1D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"embryonic digestive tract morphogenesis (GO:0048557)",NA,21271,74,67,20,2,0.1,3.27693664832225e-05,0.170138550780891,"TCF7L2","TCF7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of sodium ion transport (GO:0002028)",NA,21271,74,67,59,3,0.0508474576271186,3.59115152978432e-05,0.186452587426402,"AGT","SERPINE2","CHP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"establishment of protein localization to organelle (GO:0072594)",NA,21271,74,67,291,6,0.0206185567010309,3.59765670621921e-05,0.186790336186901,"TIMM22","MTX1","AGT","HIST1H1B","TCF7L2","TXNIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein processing (GO:0016485)",NA,21271,74,67,200,5,0.025,3.97034285139223e-05,0.206140200844285,"ATP6AP2","BBC3","PPARG","AGT","ECE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of systemic arterial blood pressure mediated by a chemical signal (GO:0003044)",NA,21271,74,67,22,2,0.0909090909090909,4.4068198009001e-05,0.228802084062733,"ECE1","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neural tube development (GO:0021915)",NA,21271,74,67,22,2,0.0909090909090909,4.4068198009001e-05,0.228802084062733,"TCF7L2","TCF7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of systemic arterial blood pressure by hormone (GO:0001990)",NA,21271,74,67,22,2,0.0909090909090909,4.4068198009001e-05,0.228802084062733,"ECE1","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"endocrine process (GO:0050886)",NA,21271,74,67,22,2,0.0909090909090909,4.4068198009001e-05,0.228802084062733,"ECE1","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to osmotic stress (GO:0006970)",NA,21271,74,67,63,3,0.0476190476190476,4.65582644612607e-05,0.241730509082866,"AGT","AQP1","FMO1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of leukocyte apoptotic process (GO:2000108)",NA,21271,74,67,23,2,0.0869565217391304,5.05642989798414e-05,0.262529840303337,"BBC3","SIGLEC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of fatty acid oxidation (GO:0046320)",NA,21271,74,67,23,2,0.0869565217391304,5.05642989798414e-05,0.262529840303337,"PPARG","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of muscle cell apoptotic process (GO:0010656)",NA,21271,74,67,23,2,0.0869565217391304,5.05642989798414e-05,0.262529840303337,"HMGCR","HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of gliogenesis (GO:0014013)",NA,21271,74,67,66,3,0.0454545454545455,5.59347145990304e-05,0.290413038198166,"SERPINE2","TCF7L2","PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chondroitin sulfate biosynthetic process (GO:0030206)",NA,21271,74,67,24,2,0.0833333333333333,5.76576461816499e-05,0.299358498975127,"DCN","CHST12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to salt stress (GO:0009651)",NA,21271,74,67,24,2,0.0833333333333333,5.76576461816499e-05,0.299358498975127,"AGT","AQP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
