"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"negative regulation of digestive system process (GO:0060457)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of digestive system process (GO:0060456)",NA,21271,74,67,8,1,0.125,0.00027033975173571,1,"AQP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nodal signaling pathway (GO:0038092)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of translation (GO:0017148)",NA,21271,74,67,71,1,0.0140845070422535,0.0211221664651697,1,"DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of proteolysis (GO:0045862)",NA,21271,74,67,227,2,0.00881057268722467,0.0348782311213168,1,"BBC3","PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of proteolysis (GO:0045861)",NA,21271,74,67,301,5,0.0166112956810631,0.000369436541958595,1,"LEF1","SERPINE2","AQP1","C4B","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of protein kinase activity (GO:0045860)",NA,21271,74,67,455,3,0.00659340659340659,0.0552614246115395,1,"AGT","DNAJC3","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"myeloid leukocyte migration (GO:0097529)",NA,21271,74,67,75,0,0,0.211026981774221,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of guanylate cyclase activity (GO:0031284)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"activation of MAPKK activity (GO:0000186)",NA,21271,74,67,59,0,0,0.170048329734801,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"activation of MAPKKK activity (GO:0000185)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"methionine metabolic process (GO:0006555)",NA,21271,74,67,18,0,0,0.0552256210840805,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of cyclase activity (GO:0031280)",NA,21271,74,67,24,0,0,0.0729578257883019,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of cyclase activity (GO:0031281)",NA,21271,74,67,46,0,0,0.135215336969629,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of vasculogenesis (GO:2001214)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mesenchymal-epithelial cell signaling (GO:0060638)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of mononuclear cell proliferation (GO:0032945)",NA,21271,74,67,52,0,0,0.151467482572662,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of microtubule-based movement (GO:0060632)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of meiosis I (GO:0060631)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"inactivation of MAPK activity (GO:0000188)",NA,21271,74,67,30,0,0,0.0903620950460976,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to interferon-beta (GO:0035458)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nephron tubule morphogenesis (GO:0072078)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nephron tubule formation (GO:0072079)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aminoglycoside antibiotic metabolic process (GO:0030647)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nucleobase catabolic process (GO:0046113)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"kidney mesenchyme development (GO:0072074)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to hepatocyte growth factor stimulus (GO:0035729)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"synaptic vesicle transport (GO:0048489)",NA,21271,74,67,56,0,0,0.162134706972468,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"production of molecular mediator involved in inflammatory response (GO:0002532)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cellular pH (GO:0030641)",NA,21271,74,67,31,1,0.032258064516129,0.00428459450669982,1,"CHP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to interferon-beta (GO:0035456)",NA,21271,74,67,17,0,0,0.0522379454628329,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"drug transport (GO:0015893)",NA,21271,74,67,22,0,0,0.0670838263233159,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"purinergic nucleotide receptor signaling pathway (GO:0035590)",NA,21271,74,67,18,0,0,0.0552256210840805,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"homocysteine metabolic process (GO:0050667)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hydrogen peroxide biosynthetic process (GO:0050665)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"axon extension involved in axon guidance (GO:0048846)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"detection of molecule of bacterial origin (GO:0032490)",NA,21271,74,67,9,1,0.111111111111111,0.000346872460197721,1,"C4B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"artery morphogenesis (GO:0048844)",NA,21271,74,67,45,0,0,0.132476995251067,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of axon extension involved in axon guidance (GO:0048843)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hippocampus development (GO:0021766)",NA,21271,74,67,38,0,0,0.113067976492081,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of axon extension involved in axon guidance (GO:0048841)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902110)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"galactose metabolic process (GO:0006012)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cell maturation (GO:1903429)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of organelle assembly (GO:1902115)",NA,21271,74,67,79,0,0,0.220956173441671,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of organelle assembly (GO:1902116)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of organelle assembly (GO:1902117)",NA,21271,74,67,19,0,0,0.0582040186461833,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"spleen development (GO:0048536)",NA,21271,74,67,32,0,0,0.0960916793334139,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mucosal-associated lymphoid tissue development (GO:0048537)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hematopoietic or lymphoid organ development (GO:0048534)",NA,21271,74,67,174,0,0,0.423732422900924,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lymph node development (GO:0048535)",NA,21271,74,67,16,0,0,0.0492409633194504,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"anatomical structure arrangement (GO:0048532)",NA,21271,74,67,17,0,0,0.0522379454628329,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neuron development (GO:0048666)",NA,21271,74,67,120,0,0,0.315892753552874,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cell morphogenesis involved in neuron differentiation (GO:0048667)",NA,21271,74,67,10,1,0.1,0.00043270854330034,1,"SLC1A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"establishment of cell polarity (GO:0030010)",NA,21271,74,67,48,0,0,0.140666501529946,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neuron fate specification (GO:0048665)",NA,21271,74,67,22,0,0,0.0670838263233159,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neuron fate commitment (GO:0048663)",NA,21271,74,67,33,0,0,0.0989431251399334,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of smooth muscle cell proliferation (GO:0048661)",NA,21271,74,67,45,2,0.0444444444444444,0.000385563129668278,1,"HMGCR","HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mitochondrion transport along microtubule (GO:0047497)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"muscle tissue development (GO:0060537)",NA,21271,74,67,96,2,0.0208333333333333,0.00346283288405537,1,"ITGA7","DCN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of growth hormone secretion (GO:0060123)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"skeletal muscle organ development (GO:0060538)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"peripheral nervous system development (GO:0007422)",NA,21271,74,67,27,0,0,0.0817005764035196,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of growth hormone secretion (GO:0060124)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mitochondrial ATP synthesis coupled proton transport (GO:0042776)",NA,21271,74,67,15,0,0,0.0462346461049716,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"quinone metabolic process (GO:1901661)",NA,21271,74,67,28,1,0.0357142857142857,0.00350420767418228,1,"HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNA damage response, signal transduction resulting in transcription (GO:0042772)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"signal transduction in response to DNA damage (GO:0042770)",NA,21271,74,67,105,0,0,0.282561249551127,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)",NA,21271,74,67,29,1,0.0344827586206897,0.00375615452798129,1,"TMEM109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"maintenance of fidelity involved in DNA-dependent DNA replication (GO:0045005)",NA,21271,74,67,17,0,0,0.0522379454628329,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNA deamination (GO:0045006)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fatty acid derivative transport (GO:1901571)",NA,21271,74,67,16,0,0,0.0492409633194504,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"replicative senescence (GO:0090399)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fatty acid derivative biosynthetic process (GO:1901570)",NA,21271,74,67,41,0,0,0.121437954207944,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of neurotransmitter secretion (GO:0046929)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cell cycle G1/S phase transition (GO:1902806)",NA,21271,74,67,130,0,0,0.337261383794504,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of cell cycle G1/S phase transition (GO:1902807)",NA,21271,74,67,98,0,0,0.266463981248253,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"stress fiber assembly (GO:0043149)",NA,21271,74,67,13,1,0.0769230769230769,0.000745462229447388,1,"ITGB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cell growth (GO:0001558)",NA,21271,74,67,321,5,0.0155763239875389,0.000519101824326038,1,"LEF1","SERPINE2","PPARG","AGT","HIST1H1B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"organelle fusion (GO:0048284)",NA,21271,74,67,48,0,0,0.140666501529946,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of synaptic vesicle transport (GO:1902803)",NA,21271,74,67,22,0,0,0.0670838263233159,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lung alveolus development (GO:0048286)",NA,21271,74,67,37,0,0,0.110260566581606,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of erythrocyte differentiation (GO:0045646)",NA,21271,74,67,35,0,0,0.104619460096944,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"anion transmembrane transport (GO:0098656)",NA,21271,74,67,171,4,0.0233918128654971,0.000204450795881216,1,"AQP1","CLCA2","CLCA1","SLC25A26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sarcomere organization (GO:0045214)",NA,21271,74,67,26,0,0,0.0787953888796283,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to interleukin-6 (GO:0071354)",NA,21271,74,67,17,0,0,0.0522379454628329,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of cell cycle G1/S phase transition (GO:1902808)",NA,21271,74,67,19,0,0,0.0582040186461833,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of hormone biosynthetic process (GO:0046885)",NA,21271,74,67,21,0,0,0.0641330930165918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of peptide transport (GO:0090087)",NA,21271,74,67,230,2,0.00869565217391304,0.0360474640871503,1,"TCF7L2","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"organophosphate ester transport (GO:0015748)",NA,21271,74,67,70,0,0,0.198440039057127,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of membrane protein ectodomain proteolysis (GO:0051043)",NA,21271,74,67,18,0,0,0.0552256210840805,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of membrane protein ectodomain proteolysis (GO:0051044)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation by host of viral transcription (GO:0043922)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of secretion (GO:0051047)",NA,21271,74,67,272,3,0.0110294117647059,0.0106758583379199,1,"AQP1","AGT","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of secretion (GO:0051048)",NA,21271,74,67,151,2,0.0132450331125828,0.012060562351972,1,"HMOX1","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein acylation (GO:0043543)",NA,21271,74,67,153,1,0.0065359477124183,0.0839658184929235,1,"LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pinocytosis (GO:0006907)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of hormone secretion (GO:0046887)",NA,21271,74,67,90,1,0.0111111111111111,0.032770418742472,1,"TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of cAMP-mediated signaling (GO:0043951)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of cAMP-mediated signaling (GO:0043950)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"purine ribonucleoside monophosphate metabolic process (GO:0009167)",NA,21271,74,67,401,3,0.00748129675810474,0.0376748463772471,1,"TOR1B","UQCRB","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"clathrin coat assembly (GO:0048268)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)",NA,21271,74,67,96,3,0.03125,0.000240183830627691,1,"HMOX1","MCL1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"deoxyribonucleoside monophosphate metabolic process (GO:0009162)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nucleoside biosynthetic process (GO:0009163)",NA,21271,74,67,118,0,0,0.311538291284104,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"small molecule catabolic process (GO:0044282)",NA,21271,74,67,260,2,0.00769230769230769,0.0488343566285446,1,"BCAT1","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of lipid biosynthetic process (GO:0046889)",NA,21271,74,67,51,2,0.0392156862745098,0.00055826545443807,1,"AGT","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"steroid catabolic process (GO:0006706)",NA,21271,74,67,22,0,0,0.0670838263233159,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of receptor-mediated endocytosis (GO:0048260)",NA,21271,74,67,38,0,0,0.113067976492081,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of receptor-mediated endocytosis (GO:0048261)",NA,21271,74,67,13,0,0,0.0401938918354918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
