"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"NEGATIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS",33727,74,38,211,2,0.00947867298578199,0.00173285374262386,1,"GTPBP4","ID1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYTOKINESIS","http://www.broadinstitute.org/gsea/msigdb/cards/CYTOKINESIS",33727,74,38,19,0,0,0.0211970866195401,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPLICEOSOME_ASSEMBLY","http://www.broadinstitute.org/gsea/msigdb/cards/SPLICEOSOME_ASSEMBLY",33727,74,38,21,0,0,0.0234027408616901,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUCLEOBASENUCLEOSIDE_AND_NUCLEOTIDE_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/NUCLEOBASENUCLEOSIDE_AND_NUCLEOTIDE_METABOLIC_PROCESS",33727,74,38,52,0,0,0.0569778398316271,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUCLEAR_IMPORT","http://www.broadinstitute.org/gsea/msigdb/cards/NUCLEAR_IMPORT",33727,74,38,50,0,0,0.0548460513956388,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS",33727,74,38,259,2,0.00772200772200772,0.00309632270302034,1,"GTPBP4","ID1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_HYDROLASE_ACTIVITY","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_HYDROLASE_ACTIVITY",33727,74,38,79,1,0.0126582278481013,0.00360569719332599,1,"BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROTEIN_AUTOPROCESSING","http://www.broadinstitute.org/gsea/msigdb/cards/PROTEIN_AUTOPROCESSING",33727,74,38,32,0,0,0.0354476051055022,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS","http://www.broadinstitute.org/gsea/msigdb/cards/POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS",33727,74,38,41,0,0,0.0451947946073955,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_CELLULAR_PH","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_CELLULAR_PH",33727,74,38,10,0,0,0.0112114724030221,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS",33727,74,38,32,0,0,0.0354476051055022,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_SECRETION","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_SECRETION",33727,74,38,40,0,0,0.0441165278593516,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SYSTEM_DEVELOPMENT","http://www.broadinstitute.org/gsea/msigdb/cards/SYSTEM_DEVELOPMENT",33727,74,38,861,4,0.00464576074332172,0.00267619675422064,1,"ITGA7","HMGCR","DCN","FBN1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOGENIC_AMINE_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/BIOGENIC_AMINE_METABOLIC_PROCESS",33727,74,38,17,0,0,0.0189865822663018,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION","http://www.broadinstitute.org/gsea/msigdb/cards/POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION",33727,74,38,126,1,0.00793650793650794,0.00891488461218447,1,"HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESTABLISHMENT_OF_PROTEIN_LOCALIZATION","http://www.broadinstitute.org/gsea/msigdb/cards/ESTABLISHMENT_OF_PROTEIN_LOCALIZATION",33727,74,38,190,0,0,0.193293400106422,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEMOSTASIS","http://www.broadinstitute.org/gsea/msigdb/cards/HEMOSTASIS",33727,74,38,48,0,0,0.0527095709531857,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G_PROTEIN_SIGNALING_ADENYLATE_CYCLASE_INHIBITING_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/G_PROTEIN_SIGNALING_ADENYLATE_CYCLASE_INHIBITING_PATHWAY",33727,74,38,10,0,0,0.0112114724030221,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY",33727,74,38,140,0,0,0.146280302772555,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLUCOSE_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/GLUCOSE_METABOLIC_PROCESS",33727,74,38,28,0,0,0.031084485386896,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_DEFENSE_RESPONSE","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_DEFENSE_RESPONSE",33727,74,38,20,0,0,0.0223005193568264,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LYSOSOME_ORGANIZATION_AND_BIOGENESIS","http://www.broadinstitute.org/gsea/msigdb/cards/LYSOSOME_ORGANIZATION_AND_BIOGENESIS",33727,74,38,11,0,0,0.0123258646694958,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POSITIVE_REGULATION_OF_TRANSCRIPTIONDNA_DEPENDENT","http://www.broadinstitute.org/gsea/msigdb/cards/POSITIVE_REGULATION_OF_TRANSCRIPTIONDNA_DEPENDENT",33727,74,38,118,1,0.00847457627118644,0.00785880088756142,1,"SQSTM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TISSUE_MORPHOGENESIS","http://www.broadinstitute.org/gsea/msigdb/cards/TISSUE_MORPHOGENESIS",33727,74,38,14,0,0,0.0156617090741821,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G_PROTEIN_SIGNALING_COUPLED_TO_IP3_SECOND_MESSENGERPHOSPHOLIPASE_C_ACTIVATING","http://www.broadinstitute.org/gsea/msigdb/cards/G_PROTEIN_SIGNALING_COUPLED_TO_IP3_SECOND_MESSENGERPHOSPHOLIPASE_C_ACTIVATING",33727,74,38,45,0,0,0.0494960307932664,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONE_CARBON_COMPOUND_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/ONE_CARBON_COMPOUND_METABOLIC_PROCESS",33727,74,38,26,0,0,0.0288957251310485,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLYCOLIPID_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/GLYCOLIPID_METABOLIC_PROCESS",33727,74,38,16,0,0,0.0178795080562852,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INORGANIC_ANION_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/INORGANIC_ANION_TRANSPORT",33727,74,38,18,0,0,0.0200924413548176,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POSITIVE_REGULATION_OF_CELL_PROLIFERATION","http://www.broadinstitute.org/gsea/msigdb/cards/POSITIVE_REGULATION_OF_CELL_PROLIFERATION",33727,74,38,149,1,0.00671140939597315,0.0122811129139941,1,"CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_DNA_BINDING","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_DNA_BINDING",33727,74,38,47,1,0.0212765957446809,0.00129412531228416,1,"ID1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHROMATIN_REMODELING","http://www.broadinstitute.org/gsea/msigdb/cards/CHROMATIN_REMODELING",33727,74,38,25,0,0,0.0277995404101296,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SYNAPTOGENESIS","http://www.broadinstitute.org/gsea/msigdb/cards/SYNAPTOGENESIS",33727,74,38,18,0,0,0.0200924413548176,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAK_STAT_CASCADE","http://www.broadinstitute.org/gsea/msigdb/cards/JAK_STAT_CASCADE",33727,74,38,31,0,0,0.034358622070087,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NERVOUS_SYSTEM_DEVELOPMENT","http://www.broadinstitute.org/gsea/msigdb/cards/NERVOUS_SYSTEM_DEVELOPMENT",33727,74,38,385,0,0,0.353713763764528,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLYCOPROTEIN_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/GLYCOPROTEIN_METABOLIC_PROCESS",33727,74,38,90,0,0,0.0966035501676232,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INSULIN_RECEPTOR_SIGNALING_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/INSULIN_RECEPTOR_SIGNALING_PATHWAY",33727,74,38,19,0,0,0.0211970866195401,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIRAL_GENOME_REPLICATION","http://www.broadinstitute.org/gsea/msigdb/cards/VIRAL_GENOME_REPLICATION",33727,74,38,21,0,0,0.0234027408616901,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELL_ACTIVATION","http://www.broadinstitute.org/gsea/msigdb/cards/CELL_ACTIVATION",33727,74,38,77,0,0,0.0832333718045576,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEURITE_DEVELOPMENT","http://www.broadinstitute.org/gsea/msigdb/cards/NEURITE_DEVELOPMENT",33727,74,38,53,0,0,0.0580419776812606,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HORMONE_SECRETION","http://www.broadinstitute.org/gsea/msigdb/cards/HORMONE_SECRETION",33727,74,38,17,0,0,0.0189865822663018,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION","http://www.broadinstitute.org/gsea/msigdb/cards/N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION",33727,74,38,11,0,0,0.0123258646694958,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROTEIN_AMINO_ACID_N_LINKED_GLYCOSYLATION","http://www.broadinstitute.org/gsea/msigdb/cards/PROTEIN_AMINO_ACID_N_LINKED_GLYCOSYLATION",33727,74,38,30,0,0,0.0332684419589329,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENERGY_RESERVE_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/ENERGY_RESERVE_METABOLIC_PROCESS",33727,74,38,15,0,0,0.0167712174257141,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHROMATIN_ASSEMBLY","http://www.broadinstitute.org/gsea/msigdb/cards/CHROMATIN_ASSEMBLY",33727,74,38,16,0,0,0.0178795080562852,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEGATIVE_REGULATION_OF_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_TRANSPORT",33727,74,38,20,0,0,0.0223005193568264,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER","http://www.broadinstitute.org/gsea/msigdb/cards/POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER",33727,74,38,65,1,0.0153846153846154,0.00245849291120367,1,"SQSTM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISOPRENOID_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/ISOPRENOID_METABOLIC_PROCESS",33727,74,38,12,0,0,0.0134390339998599,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPERMATID_DEVELOPMENT","http://www.broadinstitute.org/gsea/msigdb/cards/SPERMATID_DEVELOPMENT",33727,74,38,10,0,0,0.0112114724030221,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLUTAMATE_SIGNALING_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/GLUTAMATE_SIGNALING_PATHWAY",33727,74,38,17,0,0,0.0189865822663018,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROTEIN_TARGETING_TO_MITOCHONDRION","http://www.broadinstitute.org/gsea/msigdb/cards/PROTEIN_TARGETING_TO_MITOCHONDRION",33727,74,38,11,0,0,0.0123258646694958,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUBE_MORPHOGENESIS","http://www.broadinstitute.org/gsea/msigdb/cards/TUBE_MORPHOGENESIS",33727,74,38,15,0,0,0.0167712174257141,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_CYTOKINE_SECRETION","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_CYTOKINE_SECRETION",33727,74,38,16,0,0,0.0178795080562852,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MACROMOLECULAR_COMPLEX_ASSEMBLY","http://www.broadinstitute.org/gsea/msigdb/cards/MACROMOLECULAR_COMPLEX_ASSEMBLY",33727,74,38,280,0,0,0.271644256741885,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DI__TRI_VALENT_INORGANIC_CATION_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/DI__TRI_VALENT_INORGANIC_CATION_TRANSPORT",33727,74,38,32,0,0,0.0354476051055022,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DETECTION_OF_ABIOTIC_STIMULUS","http://www.broadinstitute.org/gsea/msigdb/cards/DETECTION_OF_ABIOTIC_STIMULUS",33727,74,38,19,0,0,0.0211970866195401,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS",33727,74,38,15,0,0,0.0167712174257141,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COFACTOR_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/COFACTOR_METABOLIC_PROCESS",33727,74,38,54,0,0,0.0591049462875483,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_HORMONE_SECRETION","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_HORMONE_SECRETION",33727,74,38,14,0,0,0.0156617090741821,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2_M_TRANSITION_OF_MITOTIC_CELL_CYCLE","http://www.broadinstitute.org/gsea/msigdb/cards/G2_M_TRANSITION_OF_MITOTIC_CELL_CYCLE",33727,74,38,13,0,0,0.0145509816999339,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T_CELL_PROLIFERATION","http://www.broadinstitute.org/gsea/msigdb/cards/T_CELL_PROLIFERATION",33727,74,38,19,0,0,0.0211970866195401,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEMALE_GAMETE_GENERATION","http://www.broadinstitute.org/gsea/msigdb/cards/FEMALE_GAMETE_GENERATION",33727,74,38,17,0,0,0.0189865822663018,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROTEIN_TETRAMERIZATION","http://www.broadinstitute.org/gsea/msigdb/cards/PROTEIN_TETRAMERIZATION",33727,74,38,14,0,0,0.0156617090741821,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN",33727,74,38,10,0,0,0.0112114724030221,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FATTY_ACID_BETA_OXIDATION","http://www.broadinstitute.org/gsea/msigdb/cards/FATTY_ACID_BETA_OXIDATION",33727,74,38,11,0,0,0.0123258646694958,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",33727,74,38,51,0,0,0.0559125314873025,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS",33727,74,38,25,0,0,0.0277995404101296,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FOCAL_ADHESION_FORMATION","http://www.broadinstitute.org/gsea/msigdb/cards/FOCAL_ADHESION_FORMATION",33727,74,38,10,0,0,0.0112114724030221,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SECRETORY_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/SECRETORY_PATHWAY",33727,74,38,84,0,0,0.0904564600812949,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEROXISOME_ORGANIZATION_AND_BIOGENESIS","http://www.broadinstitute.org/gsea/msigdb/cards/PEROXISOME_ORGANIZATION_AND_BIOGENESIS",33727,74,38,16,0,0,0.0178795080562852,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEIOSIS_I","http://www.broadinstitute.org/gsea/msigdb/cards/MEIOSIS_I",33727,74,38,20,0,0,0.0223005193568264,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_LIPID_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_LIPID_METABOLIC_PROCESS",33727,74,38,12,0,0,0.0134390339998599,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEGATIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS",33727,74,38,29,0,0,0.0321770634917445,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DEVELOPMENTAL_MATURATION","http://www.broadinstitute.org/gsea/msigdb/cards/DEVELOPMENTAL_MATURATION",33727,74,38,18,0,0,0.0200924413548176,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RESPONSE_TO_ENDOGENOUS_STIMULUS","http://www.broadinstitute.org/gsea/msigdb/cards/RESPONSE_TO_ENDOGENOUS_STIMULUS",33727,74,38,200,0,0,0.20238875450853,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLYCOPROTEIN_CATABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/GLYCOPROTEIN_CATABOLIC_PROCESS",33727,74,38,12,0,0,0.0134390339998599,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SECRETION_BY_CELL","http://www.broadinstitute.org/gsea/msigdb/cards/SECRETION_BY_CELL",33727,74,38,116,0,0,0.122776733826249,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PATTERN_SPECIFICATION_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/PATTERN_SPECIFICATION_PROCESS",33727,74,38,31,0,0,0.034358622070087,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHOSPHOLIPASE_C_ACTIVATION","http://www.broadinstitute.org/gsea/msigdb/cards/PHOSPHOLIPASE_C_ACTIVATION",33727,74,38,14,0,0,0.0156617090741821,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELL_SURFACE_RECEPTOR_LINKED_SIGNAL_TRANSDUCTION_GO_0007166","http://www.broadinstitute.org/gsea/msigdb/cards/CELL_SURFACE_RECEPTOR_LINKED_SIGNAL_TRANSDUCTION_GO_0007166",33727,74,38,641,1,0.0015600624024961,0.162547805565573,1,"AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LYMPHOCYTE_DIFFERENTIATION","http://www.broadinstitute.org/gsea/msigdb/cards/LYMPHOCYTE_DIFFERENTIATION",33727,74,38,26,0,0,0.0288957251310485,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELL_STRUCTURE_DISASSEMBLY_DURING_APOPTOSIS","http://www.broadinstitute.org/gsea/msigdb/cards/CELL_STRUCTURE_DISASSEMBLY_DURING_APOPTOSIS",33727,74,38,18,0,0,0.0200924413548176,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_TRANSPORT",33727,74,38,31,0,0,0.034358622070087,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS",33727,74,38,11,0,0,0.0123258646694958,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION","http://www.broadinstitute.org/gsea/msigdb/cards/DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION",33727,74,38,21,0,0,0.0234027408616901,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTIVATION_OF_JNK_ACTIVITY","http://www.broadinstitute.org/gsea/msigdb/cards/ACTIVATION_OF_JNK_ACTIVITY",33727,74,38,16,0,0,0.0178795080562852,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_SYNAPSE_STRUCTURE_AND_ACTIVITY","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_SYNAPSE_STRUCTURE_AND_ACTIVITY",33727,74,38,11,0,0,0.0123258646694958,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY",33727,74,38,14,0,0,0.0156617090741821,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STRIATED_MUSCLE_DEVELOPMENT","http://www.broadinstitute.org/gsea/msigdb/cards/STRIATED_MUSCLE_DEVELOPMENT",33727,74,38,40,0,0,0.0441165278593516,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M_PHASE","http://www.broadinstitute.org/gsea/msigdb/cards/M_PHASE",33727,74,38,114,0,0,0.12078990761614,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COENZYME_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/COENZYME_METABOLIC_PROCESS",33727,74,38,38,0,0,0.0419564362565834,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYTOPLASM_ORGANIZATION_AND_BIOGENESIS","http://www.broadinstitute.org/gsea/msigdb/cards/CYTOPLASM_ORGANIZATION_AND_BIOGENESIS",33727,74,38,15,0,0,0.0167712174257141,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYOBLAST_DIFFERENTIATION","http://www.broadinstitute.org/gsea/msigdb/cards/MYOBLAST_DIFFERENTIATION",33727,74,38,17,0,0,0.0189865822663018,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SENSORY_PERCEPTION_OF_TASTE","http://www.broadinstitute.org/gsea/msigdb/cards/SENSORY_PERCEPTION_OF_TASTE",33727,74,38,11,0,0,0.0123258646694958,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLUCOSE_CATABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/GLUCOSE_CATABOLIC_PROCESS",33727,74,38,11,0,0,0.0123258646694958,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTRACELLULAR_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/INTRACELLULAR_TRANSPORT",33727,74,38,280,1,0.00357142857142857,0.0396866060903934,1,"SQSTM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTRACELLULAR_PROTEIN_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/INTRACELLULAR_PROTEIN_TRANSPORT",33727,74,38,145,0,0,0.151099123608295,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
