"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/TRANSPORT",33727,74,38,795,7,0.00880503144654088,2.40609474425789e-06,0.00198502816401276,"SLC3A2","SLC1A3","CLCA2","CLCA1","AQP1","SQSTM1","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHOSPHOINOSITIDE_BIOSYNTHETIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/PHOSPHOINOSITIDE_BIOSYNTHETIC_PROCESS",33727,74,38,24,2,0.0833333333333333,2.62726647586868e-06,0.00216749484259166,"PIGS","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELL_DEVELOPMENT","http://www.broadinstitute.org/gsea/msigdb/cards/CELL_DEVELOPMENT",33727,74,38,577,6,0.0103986135181976,3.29535255055368e-06,0.00271866585420679,"ADAMTSL4","TAX1BP1","CIDEC","MCL1","BBC3","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMINO_ACID_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/AMINO_ACID_TRANSPORT",33727,74,38,26,2,0.0769230769230769,3.36969833460031e-06,0.00278000112604526,"SLC1A3","SLC3A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESTABLISHMENT_OF_LOCALIZATION","http://www.broadinstitute.org/gsea/msigdb/cards/ESTABLISHMENT_OF_LOCALIZATION",33727,74,38,870,7,0.00804597701149425,4.67457524236032e-06,0.00385652457494726,"SLC3A2","SLC1A3","CLCA2","CLCA1","AQP1","SQSTM1","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS",33727,74,38,618,6,0.00970873786407767,5.166643897146e-06,0.00426248121514545,"TCF7","ID1","GTPBP4","PPARG","SQSTM1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS",33727,74,38,30,2,0.0666666666666667,5.24556101779927e-06,0.0043275878396844,"PIGS","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHOSPHOINOSITIDE_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/PHOSPHOINOSITIDE_METABOLIC_PROCESS",33727,74,38,31,2,0.0645161290322581,5.8030683852656e-06,0.00478753141784412,"PIGS","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMINE_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/AMINE_TRANSPORT",33727,74,38,38,2,0.0526315789473684,1.08317696034853e-05,0.00893620992287534,"SLC1A3","SLC3A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REPRODUCTION","http://www.broadinstitute.org/gsea/msigdb/cards/REPRODUCTION",33727,74,38,265,4,0.0150943396226415,1.17085171113999e-05,0.00965952661690492,"FCGRT","AGT","HMGCR","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
