"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136"
"MORF_IL16","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_IL16",4880,518,136,242,10,0.0413223140495868,0.136066097885142,1,"CAMK4","SULT4A1","CPEB3","NOS2","SGCD","NTNG2","AFF2","ABCC8","GABRB2","DGCR9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_IL9","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_IL9",4880,518,136,94,6,0.0638297872340425,0.0462876762435009,1,"KCNH1","FSTL4","RASGRF1","ATRNL1","HIPK2","FAM13C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_ITGA2","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_ITGA2",4880,518,136,57,2,0.0350877192982456,0.475137321731273,1,"STAC","LDB3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_JAG1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_JAG1",4880,518,136,94,1,0.0106382978723404,0.931634278521348,1,"SEZ6L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_JAK3","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_JAK3",4880,518,136,96,5,0.0520833333333333,0.128695834284771,1,"PCBP3","SEZ6L","PAIP2B","AFF2","SLC6A7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_JUND","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_JUND",4880,518,136,64,1,0.015625,0.838116779148377,1,"CLIC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_KDR","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_KDR",4880,518,136,95,4,0.0421052631578947,0.272422658221731,1,"CAMK4","SGCD","NTNG2","ABCC8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_LCAT","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_LCAT",4880,518,136,134,10,0.0746268656716418,0.00391047726602581,1,"FSTL4","VIPR2","RASGRF1","ATRNL1","MYH7","OPHN1","RFPL1-AS1","FAM13C","KCNH1","HIPK2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_LMO1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_LMO1",4880,518,136,50,1,0.02,0.758400522158097,1,"SEZ6L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_LTK","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_LTK",4880,518,136,147,6,0.0408163265306122,0.225772026287031,1,"TUB","NTSR2","PCBP3","GPR17","PAIP2B","SLC6A7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
