"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136"
"GNF2_DNM1","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_DNM1",4880,518,136,73,23,0.315068493150685,4.64447131593681e-19,1.98318925190502e-16,"SYT1","SNCB","NAP1L3","NAP1L2","GABBR2","SV2B","RUNDC3A","PHYHIP","NMNAT2","BSN","VSNL1","FAIM2","SH3GL2","SNAP91","ATP6V1G2","SULT4A1","CAMK2A","SNAP25","GABRA1","SLC12A5","SLC17A7","RBFOX1","RGS7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_TM4SF2","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_TM4SF2",4880,518,136,26,12,0.461538461538462,9.34336069469005e-13,3.98961501663265e-10,"SNAP91","NAP1L2","SV2B","SNAP25","RUNDC3A","NMNAT2","PHYHIP","HPCAL4","SLC12A5","BSN","SH3GL2","FAIM2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_MAPT","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_MAPT",4880,518,136,41,13,0.317073170731707,3.11457578968965e-11,1.32992386219748e-08,"SYT1","SNAP91","SNCB","SCN3B","NAP1L3","GABBR2","RTN1","SV2B","RUNDC3A","NRXN1","GRIA2","RGS7","SH3GL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_RAB3A","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_RAB3A",4880,518,136,37,11,0.297297297297297,2.42033524153485e-09,1.03348314813538e-06,"SYT1","SNAP91","GABBR1","GABBR2","SULT4A1","SV2B","RUNDC3A","SLC12A5","RGS7","SH3GL2","FAIM2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_RTN1","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_RTN1",4880,518,136,52,11,0.211538461538462,1.19615817939321e-07,5.10759542600901e-05,"SCN3B","NAP1L3","GABBR2","RTN1","INA","NMNAT2","NRXN1","MYT1L","SNAP91","RFPL1-AS1","RGS7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_CDH11","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_CDH11",4880,518,136,25,8,0.32,2.14835934293069e-07,9.17349439431406e-05,"COL3A1","SERPINE1","COL6A2","PTX3","LOXL1","COL5A1","COL1A2","COL1A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_MAPK10","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_MAPK10",4880,518,136,82,12,0.146341463414634,2.11058474157591e-06,0.000901219684652915,"GABBR1","NMNAT2","SCN2B","PCDH7","HIPK2","VSNL1","NRSN1","SNAP91","TEF","CAMK2A","DNM3","TMOD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_SUPT3H","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_SUPT3H",4880,518,136,332,25,0.0753012048192771,3.39547635607463e-06,0.00144986840404387,"STAC","PDPN","FRY","CAMK4","RYR1","SULT4A1","RGS7","CPEB3","NOS2","CALN1","CDR1","SGCD","REPS2","NTNG2","BIRC5","MEOX2","ABCC8","GABRB2","CBLN1","GABRA1","DGCR9","LDB3","PSD","CA3","CDH8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_PTX3","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_PTX3",4880,518,136,36,8,0.222222222222222,4.63833867621964e-06,0.00198057061474579,"COL3A1","SERPINE1","LOX","PTX3","LOXL1","COL5A1","COL1A2","COL1A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_RAD51L3","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_RAD51L3",4880,518,136,392,26,0.0663265306122449,2.14009084743884e-05,0.00913818791856385,"PDPN","RYR1","SULT4A1","RGS7","REPS2","NTNG2","CA3","CDH8","STAC","FRY","CAMK4","CPEB3","NOS2","CALN1","CDR1","SGCD","AFF2","BIRC5","ABCC8","GABRB2","GABRA1","DGCR9","LDB3","PSD","SLC17A7","ATP8A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MAGEA8","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MAGEA8",4880,518,136,263,19,0.0722433460076046,0.000103741001071085,0.0442974074573532,"STAC","CAMK4","RYR1","SULT4A1","RGS7","CPEB3","NOS2","CALN1","CDR1","SGCD","NTNG2","BIRC5","ABCC8","GABRB2","DGCR9","LDB3","PSD","CA3","CDH8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_WNT1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_WNT1",4880,518,136,107,11,0.102803738317757,0.000165661806323251,0.0707375913000281,"FSTL4","VIPR2","RASGRF1","CHRNA1","ATRNL1","MYH7","OPHN1","RFPL1-AS1","KCNH1","DDN","HIPK2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MAP2K7","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MAP2K7",4880,518,136,185,15,0.0810810810810811,0.00016676933193479,0.0712105047361552,"GABRB2","STAC","CBLN1","CAMK4","SULT4A1","RGS7","DGCR9","CALN1","LDB3","PSD","CA3","REPS2","CDH8","NTNG2","ATP8A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_CTSB","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_CTSB",4880,518,136,190,15,0.0789473684210526,0.000224302647359166,0.0957772304223641,"GABRB2","STAC","CBLN1","CAMK4","SULT4A1","DGCR9","CALN1","LDB3","CDR1","PSD","CA3","REPS2","CDH8","NTNG2","ATP8A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MAGEA9","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MAGEA9",4880,518,136,428,25,0.058411214953271,0.000252385674064123,0.10776868282538,"PDPN","SULT4A1","RGS7","REPS2","NTNG2","CA3","CDH8","STAC","FRY","CAMK4","CPEB3","NOS2","CALN1","CDR1","SGCD","AFF2","ABCC8","GABRB2","CBLN1","GABRA1","DGCR9","LDB3","PSD","SLC17A7","ATP8A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_IL4","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_IL4",4880,518,136,196,15,0.076530612244898,0.000315411231982352,0.134680596056464,"STAC","CAMK4","SULT4A1","NOS2","CALN1","REPS2","NTNG2","GABRB2","DGCR9","LDB3","PSD","CA3","CDH8","SLC17A7","ATP8A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_CAMK4","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_CAMK4",4880,518,136,294,18,0.0612244897959184,0.00119296054693925,0.509394153543058,"STAC","CAMK4","RYR1","SULT4A1","RGS7","CPEB3","NOS2","CALN1","CDR1","SGCD","NTNG2","BIRC5","ABCC8","GABRB2","DGCR9","LDB3","PSD","CDH8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_ATF2","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_ATF2",4880,518,136,332,19,0.0572289156626506,0.00192702095282314,0.822837946855483,"STAC","FRY","CAMK4","SULT4A1","RGS7","CPEB3","NOS2","CALN1","CDR1","SGCD","REPS2","NTNG2","BIRC5","ABCC8","GABRB2","DGCR9","LDB3","PSD","CDH8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_ATRX","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_ATRX",4880,518,136,211,2,0.00947867298578199,0.983527275364095,1,"IPCEF1","SEZ6L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_ATOX1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_ATOX1",4880,518,136,80,1,0.0125,0.897709174671952,1,"SEC61G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_BCL2","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_BCL2",4880,518,136,222,7,0.0315315315315315,0.424683899736271,1,"SULT4A1","IPCEF1","NOS2","AFF2","PCBP3","SEZ6L","SLC6A7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_BNIP1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_BNIP1",4880,518,136,190,7,0.0368421052631579,0.278257423207232,1,"SULT4A1","NOS2","DGCR9","CA4","NTNG2","AFF2","ABCC8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_BAG5","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_BAG5",4880,518,136,57,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_BCL2L11","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_BCL2L11",4880,518,136,188,9,0.0478723404255319,0.0778969494392383,1,"STAC","CAMK4","SULT4A1","NOS2","DGCR9","CALN1","NRXN1","NTNG2","ABCC8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_BECN1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_BECN1",4880,518,136,101,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_BRCA1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_BRCA1",4880,518,136,264,9,0.0340909090909091,0.314662763570268,1,"STAC","CAMK4","SULT4A1","CPEB3","NOS2","NTNG2","AFF2","ABCC8","GABRB2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_BUB1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_BUB1",4880,518,136,52,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_BUB3","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_BUB3",4880,518,136,276,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_CTBP1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_CTBP1",4880,518,136,168,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_CCNF","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_CCNF",4880,518,136,77,1,0.012987012987013,0.888501519822494,1,"AFF2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_CCNI","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_CCNI",4880,518,136,88,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_DNMT1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_DNMT1",4880,518,136,117,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_ERCC2","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_ERCC2",4880,518,136,102,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_ESPL1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_ESPL1",4880,518,136,61,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_FDXR","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_FDXR",4880,518,136,226,4,0.0176991150442478,0.882894875515762,1,"IPCEF1","PAIP2B","PCBP3","SLC6A7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_FEN1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_FEN1",4880,518,136,65,1,0.0153846153846154,0.842688232228904,1,"CDK4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_GPX4","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_GPX4",4880,518,136,54,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_HAT1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_HAT1",4880,518,136,174,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_HDAC1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_HDAC1",4880,518,136,254,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_HDAC2","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_HDAC2",4880,518,136,277,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MDM2","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MDM2",4880,518,136,282,12,0.0425531914893617,0.0925892258320391,1,"STAC","CAMK4","SULT4A1","CPEB3","NOS2","CALN1","CDR1","NTNG2","ABCC8","GABRB2","DGCR9","PSD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MT4","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MT4",4880,518,136,246,5,0.0203252032520325,0.824405426100498,1,"IPCEF1","AFF2","PCBP3","SEZ6L","SLC6A7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MSH2","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MSH2",4880,518,136,61,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MSH3","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MSH3",4880,518,136,245,9,0.036734693877551,0.242603374081694,1,"FRY","CAMK4","SULT4A1","CPEB3","NOS2","NTNG2","AFF2","ABCC8","DGCR9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_NF1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_NF1",4880,518,136,169,7,0.0414201183431953,0.190997794675251,1,"FRY","SULT4A1","NOS2","NTNG2","AFF2","SLC6A7","ABCC8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PRDX3","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PRDX3",4880,518,136,84,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PCNA","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PCNA",4880,518,136,83,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PSMC1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PSMC1",4880,518,136,190,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PSMC2","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PSMC2",4880,518,136,117,1,0.00854700854700855,0.964826891660756,1,"SEC61G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PSMF1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PSMF1",4880,518,136,164,4,0.024390243902439,0.677511128066648,1,"SULT4A1","CPEB3","SEZ6L","NTNG2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PRKDC","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PRKDC",4880,518,136,190,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_RAD21","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_RAD21",4880,518,136,182,1,0.00549450549450549,0.99471780640928,1,"SEC61G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_RAD23A","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_RAD23A",4880,518,136,345,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_RAD23B","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_RAD23B",4880,518,136,179,1,0.00558659217877095,0.994231392614157,1,"SEC61G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_RAD54L","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_RAD54L",4880,518,136,105,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
