"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9"
"chr19p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr19p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq28","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq28",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr16q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr16q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr10p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq12","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p35","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p35",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10p15","http://www.broadinstitute.org/gsea/msigdb/cards/chr10p15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr18q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr18q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p33","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p33",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr17q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p31","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p31",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr10p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr22q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr22q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
