"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9"
"chr4q34","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q34",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10p14","http://www.broadinstitute.org/gsea/msigdb/cards/chr10p14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q34","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q34",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7q","http://www.broadinstitute.org/gsea/msigdb/cards/chr7q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q33","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q33",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8q","http://www.broadinstitute.org/gsea/msigdb/cards/chr8q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr22q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr22q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr6p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr7q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr16q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr16q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q25","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr21q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr21q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9p","http://www.broadinstitute.org/gsea/msigdb/cards/chr9p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17q25","http://www.broadinstitute.org/gsea/msigdb/cards/chr17q25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q25","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr10p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7q36","http://www.broadinstitute.org/gsea/msigdb/cards/chr7q36",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxp11","http://www.broadinstitute.org/gsea/msigdb/cards/chrxp11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxp22","http://www.broadinstitute.org/gsea/msigdb/cards/chrxp22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p32","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr8p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq13","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p36","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p36",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p23","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q31","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q31",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq27","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq27",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr17q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q33","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q33",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11p15","http://www.broadinstitute.org/gsea/msigdb/cards/chr11p15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p21","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q25","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr5p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9p22","http://www.broadinstitute.org/gsea/msigdb/cards/chr9p22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q27","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q27",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p25","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6p24","http://www.broadinstitute.org/gsea/msigdb/cards/chr6p24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr8q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p16","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p16",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q25","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr20q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr20q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q34","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q34",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr17q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q14","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7q35","http://www.broadinstitute.org/gsea/msigdb/cards/chr7q35",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr19q","http://www.broadinstitute.org/gsea/msigdb/cards/chr19q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q32","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr20q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr20q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5p15","http://www.broadinstitute.org/gsea/msigdb/cards/chr5p15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q26","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q26",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6p22","http://www.broadinstitute.org/gsea/msigdb/cards/chr6p22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q41","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q41",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q14","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr8q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq26","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq26",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p23","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q31","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q31",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q44","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q44",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7q34","http://www.broadinstitute.org/gsea/msigdb/cards/chr7q34",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q35","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q35",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q14","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr16p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr16p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr18q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr18q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q27","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q27",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr7q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr16p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr16p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr12p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p15","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7q32","http://www.broadinstitute.org/gsea/msigdb/cards/chr7q32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr18p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr18p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr17q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq24","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6p","http://www.broadinstitute.org/gsea/msigdb/cards/chr6p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr21p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr21p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq22","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9p24","http://www.broadinstitute.org/gsea/msigdb/cards/chr9p24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr11p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr16q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr16q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8p22","http://www.broadinstitute.org/gsea/msigdb/cards/chr8p22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr11p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr17p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q32","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q31","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q31",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p14","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p14",12,12,12,12,12,12,12,12,"","","","","","","","",""
