"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52"
"collagen fibril organization (GO:0030199)",NA,20829,52,52,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"supramolecular fiber organization (GO:0097435)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hindbrain development (GO:0030902)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pronephros development (GO:0048793)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"establishment of cell polarity (GO:0030010)",NA,20829,52,52,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tRNA 5'-leader removal (GO:0001682)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of epithelial to mesenchymal transition (GO:0010719)",NA,20829,52,52,20,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of transcription by competitive promoter binding (GO:0010944)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of cell-cell adhesion (GO:0022409)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of cell migration (GO:0030336)",NA,20829,52,52,77,1,0.012987012987013,0.175373552359735,1,"ADIPOQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)",NA,20829,52,52,49,2,0.0408163265306122,0.00666952047099374,1,"PEG10","CD109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of BMP signaling pathway (GO:0030514)",NA,20829,52,52,26,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of peptidyl-serine phosphorylation (GO:0033137)",NA,20829,52,52,17,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"adherens junction assembly (GO:0034333)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular protein complex localization (GO:0034629)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of ubiquitin-protein transferase activity (GO:0051444)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ventricular cardiac muscle tissue morphogenesis (GO:0055010)",NA,20829,52,52,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cardiac muscle contraction (GO:0055117)",NA,20829,52,52,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of ventricular cardiac muscle cell membrane depolarization (GO:0060373)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pathway-restricted SMAD protein phosphorylation (GO:0060389)",NA,20829,52,52,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of pathway-restricted SMAD protein phosphorylation (GO:0060394)",NA,20829,52,52,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ventricular septum morphogenesis (GO:0060412)",NA,20829,52,52,19,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to reactive oxygen species (GO:0034614)",NA,20829,52,52,25,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to cadmium ion (GO:0071276)",NA,20829,52,52,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay (GO:0043928)",NA,20829,52,52,31,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"histone mRNA catabolic process (GO:0071044)",NA,20829,52,52,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lysosomal transport (GO:0007041)",NA,20829,52,52,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bile acid metabolic process (GO:0008206)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cholesterol transport (GO:0030301)",NA,20829,52,52,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cholesterol efflux (GO:0033344)",NA,20829,52,52,22,1,0.0454545454545455,0.0535336610593864,1,"APOE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"low-density lipoprotein particle clearance (GO:0034383)",NA,20829,52,52,23,1,0.0434782608695652,0.0558990308688213,1,"ADIPOQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cholesterol homeostasis (GO:0042632)",NA,20829,52,52,49,1,0.0204081632653061,0.115403724270449,1,"APOE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"establishment of protein localization to membrane (GO:0090150)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cell aging (GO:0007569)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"anterior/posterior axis specification, embryo (GO:0008595)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"male genitalia development (GO:0030539)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mammary gland development (GO:0030879)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular senescence (GO:0090398)",NA,20829,52,52,17,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of cytokine-mediated signaling pathway (GO:0001961)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ceramide biosynthetic process (GO:0046513)",NA,20829,52,52,19,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of blood vessel endothelial cell migration (GO:0043537)",NA,20829,52,52,13,1,0.0769230769230769,0.0319821058291647,1,"APOE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of lamellipodium assembly (GO:0010592)",NA,20829,52,52,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"memory (GO:0007613)",NA,20829,52,52,17,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",NA,20829,52,52,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to hypoxia (GO:0071456)",NA,20829,52,52,54,1,0.0185185185185185,0.126417619611941,1,"BNIP3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ectoderm development (GO:0007398)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"transcription from RNA polymerase I promoter (GO:0006360)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"transcription initiation from RNA polymerase I promoter (GO:0006361)",NA,20829,52,52,31,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"transcription elongation from RNA polymerase I promoter (GO:0006362)",NA,20829,52,52,28,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"termination of RNA polymerase I transcription (GO:0006363)",NA,20829,52,52,30,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acute-phase response (GO:0006953)",NA,20829,52,52,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phospholipid scrambling (GO:0017121)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to interferon-beta (GO:0035456)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to estrogen stimulus (GO:0071391)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of transcription elongation from RNA polymerase II promoter (GO:0034244)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular protein complex assembly (GO:0043623)",NA,20829,52,52,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of protein catabolic process (GO:0045732)",NA,20829,52,52,41,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"embryonic eye morphogenesis (GO:0048048)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of ubiquitin-protein transferase activity (GO:0051443)",NA,20829,52,52,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"muscle cell development (GO:0055001)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"embryonic skeletal joint morphogenesis (GO:0060272)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"beta-catenin destruction complex assembly (GO:1904885)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060)",NA,20829,52,52,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"heart morphogenesis (GO:0003007)",NA,20829,52,52,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mesoderm development (GO:0007498)",NA,20829,52,52,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"primitive streak formation (GO:0090009)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to interferon-gamma (GO:0034341)",NA,20829,52,52,19,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"myeloid dendritic cell differentiation (GO:0043011)",NA,20829,52,52,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chaperone-mediated protein complex assembly (GO:0051131)",NA,20829,52,52,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",NA,20829,52,52,28,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tryptophan catabolic process (GO:0006569)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NAD metabolic process (GO:0019674)",NA,20829,52,52,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"substrate adhesion-dependent cell spreading (GO:0034446)",NA,20829,52,52,29,2,0.0689655172413793,0.00237706835961104,1,"FN1","LAMC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",NA,20829,52,52,110,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mitochondrial translation (GO:0032543)",NA,20829,52,52,32,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mitochondrial translational elongation (GO:0070125)",NA,20829,52,52,86,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mitochondrial translational termination (GO:0070126)",NA,20829,52,52,86,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to cAMP (GO:0051591)",NA,20829,52,52,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neurotransmitter transport (GO:0006836)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"drug transmembrane transport (GO:0006855)",NA,20829,52,52,7,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"body fluid secretion (GO:0007589)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"organic cation transport (GO:0015695)",NA,20829,52,52,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dopamine transport (GO:0015872)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neurotransmitter biosynthetic process (GO:0042136)",NA,20829,52,52,7,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"single organismal cell-cell adhesion (GO:0016337)",NA,20829,52,52,53,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein exit from endoplasmic reticulum (GO:0032527)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"early endosome to Golgi transport (GO:0034498)",NA,20829,52,52,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"defense response to Gram-positive bacterium (GO:0050830)",NA,20829,52,52,41,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)",NA,20829,52,52,42,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"histone deubiquitination (GO:0016578)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sphingolipid metabolic process (GO:0006665)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cardiac muscle hypertrophy (GO:0003300)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"adult heart development (GO:0007512)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"muscle filament sliding (GO:0030049)",NA,20829,52,52,37,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"skeletal muscle thin filament assembly (GO:0030240)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to muscle stretch (GO:0035994)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cardiac muscle fiber development (GO:0048739)",NA,20829,52,52,7,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"detection of mechanical stimulus (GO:0050982)",NA,20829,52,52,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cardiac myofibril assembly (GO:0055003)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cardiac muscle tissue morphogenesis (GO:0055008)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cell cycle checkpoint (GO:0000075)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of glycolytic process (GO:0006110)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to nutrient (GO:0007584)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to insulin (GO:0032868)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"histone H4-K5 acetylation (GO:0043981)",NA,20829,52,52,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"histone H4-K8 acetylation (GO:0043982)",NA,20829,52,52,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"histone H4-K16 acetylation (GO:0043984)",NA,20829,52,52,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of proteolysis (GO:0045862)",NA,20829,52,52,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of insulin receptor signaling pathway (GO:0046626)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"histone H3-K4 trimethylation (GO:0080182)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of macrophage derived foam cell differentiation (GO:0010744)",NA,20829,52,52,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lipoxygenase pathway (GO:0019372)",NA,20829,52,52,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of cell cycle (GO:0045786)",NA,20829,52,52,28,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of growth (GO:0045926)",NA,20829,52,52,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hepoxilin biosynthetic process (GO:0051122)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of chemokine secretion (GO:0090197)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"peptidyl-threonine dephosphorylation (GO:0035970)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G-protein coupled glutamate receptor signaling pathway (GO:0007216)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of calcium ion import (GO:0090280)",NA,20829,52,52,7,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein N-linked glycosylation (GO:0006487)",NA,20829,52,52,27,1,0.037037037037037,0.0653026689617004,1,"B4GALT1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein targeting to ER (GO:0045047)",NA,20829,52,52,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"meiotic DNA recombinase assembly (GO:0000707)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNA synthesis involved in DNA repair (GO:0000731)",NA,20829,52,52,34,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"strand displacement (GO:0000732)",NA,20829,52,52,25,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNA recombination (GO:0006310)",NA,20829,52,52,26,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to ionizing radiation (GO:0010212)",NA,20829,52,52,36,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"strand invasion (GO:0042148)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of transcription from RNA polymerase III promoter (GO:0006359)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cargo loading into vesicle (GO:0035459)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vacuolar acidification (GO:0007035)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"proton transport (GO:0015992)",NA,20829,52,52,24,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cell growth (GO:0016049)",NA,20829,52,52,37,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of macroautophagy (GO:0016241)",NA,20829,52,52,69,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"transferrin transport (GO:0033572)",NA,20829,52,52,35,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phagosome acidification (GO:0090383)",NA,20829,52,52,26,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)",NA,20829,52,52,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)",NA,20829,52,52,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to X-ray (GO:0010165)",NA,20829,52,52,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to gamma radiation (GO:0010332)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
