"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46"
"BIOCARTA_AT1R_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AT1R_PATHWAY",1279,518,46,36,1,0.0277777777777778,0.737459316615497,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ACE2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ACE2_PATHWAY",1279,518,46,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ASBCELL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ASBCELL_PATHWAY",1279,518,46,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_DNAFRAGMENT_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_DNAFRAGMENT_PATHWAY",1279,518,46,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CHEMICAL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CHEMICAL_PATHWAY",1279,518,46,22,1,0.0454545454545455,0.556314174268679,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_SPPA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_SPPA_PATHWAY",1279,518,46,22,2,0.0909090909090909,0.185843831331305,1,"PLCB1","PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ATM_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ATM_PATHWAY",1279,518,46,20,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_AGPCR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AGPCR_PATHWAY",1279,518,46,13,1,0.0769230769230769,0.380261887542666,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_BCELLSURVIVAL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_BCELLSURVIVAL_PATHWAY",1279,518,46,16,1,0.0625,0.445441042616348,1,"BIRC5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_BLYMPHOCYTE_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_BLYMPHOCYTE_PATHWAY",1279,518,46,11,1,0.0909090909090909,0.332706024952713,1,"FCGR2B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_BCR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_BCR_PATHWAY",1279,518,46,37,1,0.027027027027027,0.747175222838898,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_BIOPEPTIDES_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_BIOPEPTIDES_PATHWAY",1279,518,46,45,2,0.0444444444444444,0.488058088449898,1,"PRKCB","CAMK2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NEUROTRANSMITTERS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NEUROTRANSMITTERS_PATHWAY",1279,518,46,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_RANKL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RANKL_PATHWAY",1279,518,46,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CACAM_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CACAM_PATHWAY",1279,518,46,16,2,0.125,0.110338092998641,1,"CAMK4","CAMK2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CDMAC_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CDMAC_PATHWAY",1279,518,46,16,2,0.125,0.110338092998641,1,"PLCB1","PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CARM_ER_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CARM_ER_PATHWAY",1279,518,46,35,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CASPASE_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CASPASE_PATHWAY",1279,518,46,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CBL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CBL_PATHWAY",1279,518,46,13,1,0.0769230769230769,0.380261887542666,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CCR3_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CCR3_PATHWAY",1279,518,46,23,2,0.0869565217391304,0.199106492772977,1,"PLCB1","PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CD40_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CD40_PATHWAY",1279,518,46,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_MCM_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MCM_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_G1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_G1_PATHWAY",1279,518,46,28,1,0.0357142857142857,0.645406065974753,1,"CDK4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_G2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_G2_PATHWAY",1279,518,46,24,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CELL2CELL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CELL2CELL_PATHWAY",1279,518,46,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_LAIR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_LAIR_PATHWAY",1279,518,46,17,1,0.0588235294117647,0.46563875602858,1,"IL8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CERAMIDE_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CERAMIDE_PATHWAY",1279,518,46,22,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TID_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TID_PATHWAY",1279,518,46,19,1,0.0526315789473684,0.503898701698816,1,"USH1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CLASSIC_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CLASSIC_PATHWAY",1279,518,46,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_COMP_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_COMP_PATHWAY",1279,518,46,19,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_VDR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_VDR_PATHWAY",1279,518,46,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_HDAC_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_HDAC_PATHWAY",1279,518,46,32,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_GCR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_GCR_PATHWAY",1279,518,46,22,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CTCF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CTCF_PATHWAY",1279,518,46,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CTL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CTL_PATHWAY",1279,518,46,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CXCR4_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CXCR4_PATHWAY",1279,518,46,24,1,0.0416666666666667,0.588205870499495,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CELLCYCLE_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CELLCYCLE_PATHWAY",1279,518,46,23,1,0.0434782608695652,0.572550887063938,1,"CDK4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CFTR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CFTR_PATHWAY",1279,518,46,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CYTOKINE_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CYTOKINE_PATHWAY",1279,518,46,22,1,0.0454545454545455,0.556314174268679,1,"IL8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_INFLAM_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_INFLAM_PATHWAY",1279,518,46,29,1,0.0344827586206897,0.658444691846185,1,"IL8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_D4GDI_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_D4GDI_PATHWAY",1279,518,46,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_DC_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_DC_PATHWAY",1279,518,46,22,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_P35ALZHEIMERS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_P35ALZHEIMERS_PATHWAY",1279,518,46,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_RNA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RNA_PATHWAY",1279,518,46,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_MTA3_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MTA3_PATHWAY",1279,518,46,19,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_SKP2E2F_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_SKP2E2F_PATHWAY",1279,518,46,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CALCINEURIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CALCINEURIN_PATHWAY",1279,518,46,21,1,0.0476190476190476,0.539474613226071,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_EGF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EGF_PATHWAY",1279,518,46,31,1,0.032258064516129,0.683130307770259,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ETC_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ETC_PATHWAY",1279,518,46,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NDKDYNAMIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NDKDYNAMIN_PATHWAY",1279,518,46,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_EPHA4_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EPHA4_PATHWAY",1279,518,46,10,1,0.1,0.307607478058048,1,"L1CAM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_EPO_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EPO_PATHWAY",1279,518,46,19,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ECM_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ECM_PATHWAY",1279,518,46,24,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ERK_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ERK_PATHWAY",1279,518,46,28,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ERYTH_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ERYTH_PATHWAY",1279,518,46,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_EPONFKB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EPONFKB_PATHWAY",1279,518,46,11,1,0.0909090909090909,0.332706024952713,1,"GRIN1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_EIF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EIF_PATHWAY",1279,518,46,16,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_EXTRINSIC_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EXTRINSIC_PATHWAY",1279,518,46,13,1,0.0769230769230769,0.380261887542666,1,"F5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_FAS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_FAS_PATHWAY",1279,518,46,30,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_FCER1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_FCER1_PATHWAY",1279,518,46,41,1,0.024390243902439,0.782641254103954,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_FEEDER_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_FEEDER_PATHWAY",1279,518,46,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_FIBRINOLYSIS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_FIBRINOLYSIS_PATHWAY",1279,518,46,12,2,0.166666666666667,0.066419943427534,1,"F13A1","SERPINE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_FMLP_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_FMLP_PATHWAY",1279,518,46,39,1,0.0256410256410256,0.765563439687366,1,"PLCB1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_FREE_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_FREE_PATHWAY",1279,518,46,10,1,0.1,0.307607478058048,1,"IL8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_GATA3_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_GATA3_PATHWAY",1279,518,46,16,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_GLYCOLYSIS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_GLYCOLYSIS_PATHWAY",1279,518,46,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_SET_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_SET_PATHWAY",1279,518,46,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_GH_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_GH_PATHWAY",1279,518,46,28,1,0.0357142857142857,0.645406065974753,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_AHSP_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AHSP_PATHWAY",1279,518,46,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TCAPOPTOSIS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TCAPOPTOSIS_PATHWAY",1279,518,46,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_HIVNEF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_HIVNEF_PATHWAY",1279,518,46,58,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_SALMONELLA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_SALMONELLA_PATHWAY",1279,518,46,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_MPR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MPR_PATHWAY",1279,518,46,34,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_HCMV_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_HCMV_PATHWAY",1279,518,46,17,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_P53HYPOXIA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_P53HYPOXIA_PATHWAY",1279,518,46,23,1,0.0434782608695652,0.572550887063938,1,"IGFBP3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_HIF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_HIF_PATHWAY",1279,518,46,15,1,0.0666666666666667,0.424497108265242,1,"VEGFA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IGF1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IGF1_PATHWAY",1279,518,46,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL17_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL17_PATHWAY",1279,518,46,17,1,0.0588235294117647,0.46563875602858,1,"IL8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL2_PATHWAY",1279,518,46,22,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL3_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL3_PATHWAY",1279,518,46,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL4_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL4_PATHWAY",1279,518,46,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL5_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL5_PATHWAY",1279,518,46,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL6_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL6_PATHWAY",1279,518,46,22,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL10_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL10_PATHWAY",1279,518,46,17,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL12_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL12_PATHWAY",1279,518,46,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL2RB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL2RB_PATHWAY",1279,518,46,38,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL22BP_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL22BP_PATHWAY",1279,518,46,16,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL7_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL7_PATHWAY",1279,518,46,17,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_GSK3_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_GSK3_PATHWAY",1279,518,46,27,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_DEATH_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_DEATH_PATHWAY",1279,518,46,33,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_RACCYCD_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RACCYCD_PATHWAY",1279,518,46,26,1,0.0384615384615385,0.617851531100566,1,"CDK4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_GLEEVEC_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_GLEEVEC_PATHWAY",1279,518,46,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_INSULIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_INSULIN_PATHWAY",1279,518,46,22,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_INTEGRIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_INTEGRIN_PATHWAY",1279,518,46,38,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_INTRINSIC_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_INTRINSIC_PATHWAY",1279,518,46,23,1,0.0434782608695652,0.572550887063938,1,"F5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_KERATINOCYTE_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_KERATINOCYTE_PATHWAY",1279,518,46,46,2,0.0434782608695652,0.499915885822611,1,"PRKCB","PRKCG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TCRA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TCRA_PATHWAY",1279,518,46,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_LECTIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_LECTIN_PATHWAY",1279,518,46,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
