Gene,logFC,logCPM,LR,PValue,FDR
LOC102724785,-0.806338328,1.015712021,6.339493979,0.011807856,0.040621495
ANKRD37,-0.806634237,4.091550312,13.25498034,0.000271857,0.002548192
IQUB,-0.806661614,5.926035338,12.1235689,0.000497885,0.003881342
LOC107985405,-0.808456606,0.914258134,9.462303514,0.002097375,0.011296412
MTTP,-0.809329876,0.39524487,11.05382173,0.000885046,0.005963487
LOC102503427,-0.809431453,0.051241378,13.35153889,0.000258211,0.002468631
GPA33,-0.810086834,0.741573778,18.81380465,1.44E-05,0.000293329
KIAA2012,-0.811253014,5.155877348,10.59592215,0.001133374,0.007143057
NGB,-0.811527794,0.913005855,10.26781989,0.001353707,0.00813873
GJB7,-0.812325022,1.492805155,24.87471318,6.12E-07,2.59E-05
FAM27E4,-0.813037738,2.015775161,17.7442674,2.53E-05,0.000440874
TMEM212,-0.813732027,4.983099173,10.21578556,0.001392437,0.008317756
ANGPT1,-0.81451287,2.206643955,18.38363075,1.81E-05,0.000343057
C20orf85,-0.814713521,7.893858752,14.0709625,0.000176041,0.001868539
FANK1,-0.814990577,6.525910774,23.87105447,1.03E-06,3.97E-05
LINC01765,-0.815315031,4.209453796,12.69133064,0.000367355,0.00317409
DNAI1,-0.815558482,6.730508409,15.27325443,9.30E-05,0.001177285
LOC107986558,-0.815722276,1.708408341,15.64275799,7.65E-05,0.001018819
LOC105371840,-0.816271759,1.625989878,12.57205854,0.000391557,0.003312302
DGUOK-AS1,-0.816382276,0.991495017,8.598389533,0.003364604,0.01578745
ARHGEF26-AS1,-0.816646232,1.931883379,8.406102558,0.003739635,0.017021268
SAMD15,-0.817059461,5.254745641,15.437477,8.53E-05,0.001103124
LOC105372636,-0.817298227,0.123676205,12.11959188,0.000498948,0.003883878
KCNJ16,-0.818101792,1.920521,7.833118715,0.005129751,0.021659081
NME5,-0.818265354,5.720501393,13.13810904,0.00028935,0.002667828
FILIP1,-0.81974107,4.459057736,17.92047391,2.30E-05,0.000409592
GET1,-0.819904347,5.453619487,18.04675026,2.16E-05,0.00038905
KLHL6,-0.820512034,6.590490497,10.82025141,0.001003959,0.006525317
BBS4,-0.821167516,5.186065659,30.26552314,3.77E-08,2.83E-06
CATIP,-0.822793354,4.639531524,10.89658944,0.000963415,0.006348909
LOC107985143,-0.82449811,3.18771209,12.32175741,0.000447709,0.003624355
GJA4,-0.824910561,1.328213583,7.023303849,0.008045564,0.030315785
CWH43,-0.826550069,4.084369193,24.86604301,6.15E-07,2.59E-05
TCTEX1D2,-0.826962601,5.587182179,18.63770712,1.58E-05,0.000314414
TTC29,-0.827571531,5.453787769,18.33774023,1.85E-05,0.000347144
ARMC3,-0.827588503,7.439995334,13.67139061,0.000217747,0.002171143
LOC730202,-0.828595897,2.413661351,10.15541567,0.00143878,0.008529331
LOC101929704,-0.829148327,2.037514713,20.7488753,5.24E-06,0.000136021
WWOX-AS1,-0.829282143,-0.216226699,10.23496107,0.001378035,0.0082442
DNAJB13,-0.829532533,5.089042914,22.13128709,2.55E-06,7.78E-05
ASB9,-0.829708253,2.720293633,17.12609626,3.50E-05,0.000564299
RBKS,-0.830224566,3.726445216,16.64831007,4.50E-05,0.000685886
GSTA5,-0.830377873,1.048237381,7.338634742,0.006748808,0.026587844
SPAG16-DT,-0.83050349,0.762436547,8.175101872,0.004246928,0.018731077
C22orf15,-0.831268998,5.211921827,11.65868155,0.000639036,0.00464487
FOLR1,-0.831622869,2.999264932,27.53849149,1.54E-07,8.77E-06
LOC101928075,-0.831776767,2.504678117,21.08553723,4.39E-06,0.000118788
LOC100507599,-0.831966466,3.499828002,33.88177675,5.86E-09,6.61E-07
LOC105371929,-0.832486638,3.523931927,14.05416151,0.00017762,0.001877735
NPHP1,-0.833214218,6.231472342,16.79564124,4.16E-05,0.000646495
MRVI1-AS1,-0.833650439,1.103169353,6.611638006,0.010131443,0.036108958
IFT43,-0.834014712,5.631078896,22.31763798,2.31E-06,7.35E-05
LOC105373989,-0.835079965,-0.205543808,7.857366495,0.005061406,0.021460362
LOC105370259,-0.837573543,2.531452732,7.521316083,0.006097312,0.024566567
C5orf49,-0.838685908,6.842595441,15.0952481,0.00010222,0.001256395
APOBEC4,-0.8404887,5.678156802,12.41973707,0.00042482,0.003498231
LOC107985371,-0.841706622,0.923815266,11.82701443,0.000583775,0.004347075
LOC105373772,-0.843023309,-0.27090104,11.07102546,0.000876872,0.005931183
LOC100289361,-0.843495641,0.217564303,14.77729944,0.000120983,0.001414366
UBXN10,-0.844035996,7.631891434,14.26113361,0.000159117,0.001728398
SPAG6,-0.845122012,7.4641034,21.31695516,3.89E-06,0.000107636
C11orf74,-0.845125656,5.250745369,28.47054091,9.51E-08,5.92E-06
WDR19,-0.846344095,6.696105165,24.78207543,6.42E-07,2.68E-05
RNF213-AS1,-0.846564389,1.320594917,11.51179656,0.000691559,0.0049423
BMP15,-0.846965493,0.130790585,14.06507617,0.000176593,0.001871881
FABP6,-0.847092501,3.377726869,23.19324736,1.47E-06,5.20E-05
CNGA4,-0.847444842,4.44697316,8.601877216,0.003358167,0.015766613
PRRT2,-0.848332659,2.345191845,11.39528245,0.000736309,0.005198595
SLC13A4,-0.849451593,0.848458052,29.64547761,5.19E-08,3.63E-06
C16orf71,-0.849880201,5.213747689,15.00292653,0.000107345,0.001302151
MCF2L2,-0.85015347,2.911118793,12.61220888,0.000383235,0.003262975
WNT16,-0.851527251,-0.086250104,8.649298015,0.003271874,0.015504343
DNAH6,-0.851573183,7.270840435,13.10164813,0.000295036,0.002693895
CD96,-0.851809921,0.724687496,11.49019501,0.000699643,0.004988786
PLA1A,-0.85201432,2.216463197,33.51000792,7.09E-09,7.37E-07
LOC105371360,-0.852330551,1.256485126,11.541632,0.000680549,0.004895556
LOC105375826,-0.853252775,3.382988261,15.29359915,9.20E-05,0.001168398
ACBD3-AS1,-0.853676961,3.678592463,11.04153514,0.000890931,0.005992912
WDR63,-0.853862306,6.45529365,16.21112742,5.67E-05,0.000824027
HAGHL,-0.854971828,4.477469631,13.73762081,0.000210202,0.002114601
ENKUR,-0.855009303,7.196145542,18.74564751,1.49E-05,0.000301705
LEMD1,-0.85538681,0.604781274,7.565376592,0.005950022,0.024102244
CPVL,-0.856180816,0.024644665,11.41252543,0.000729506,0.00516248
PSENEN,-0.858253081,7.344475693,19.11447254,1.23E-05,0.000259818
C1orf141,-0.858589482,4.07223778,9.547463929,0.002002259,0.010927323
RSPH4A,-0.85912037,7.528214953,15.91624792,6.62E-05,0.00091727
LOC102723989,-0.860410723,2.802729135,13.78575179,0.000204884,0.002083671
FKBP6,-0.860862997,1.414335954,17.57655424,2.76E-05,0.000472228
ANKFN1,-0.861516692,4.586556105,10.32207334,0.001314485,0.007945267
GAS6-AS1,-0.862610965,0.567109488,11.09668238,0.000864823,0.005867274
LOC105376860,-0.863785902,2.38556714,9.553504032,0.001995681,0.010910275
DNAAF4,-0.863908462,5.498540714,22.00097807,2.73E-06,8.21E-05
RGS22,-0.864850101,5.332898687,11.82864914,0.000583263,0.004347075
LINC00479,-0.867307895,1.26386959,23.68078577,1.14E-06,4.34E-05
LOC112268036,-0.868150055,1.501587369,21.5538305,3.44E-06,9.84E-05
LOC100288798,-0.868463762,2.556653115,21.31871333,3.89E-06,0.000107636
RIBC1,-0.86862642,5.175336397,22.73782795,1.86E-06,6.23E-05
ADGB,-0.868724981,5.862590812,15.55964542,7.99E-05,0.001049556
TM4SF19-TCTEX1D2,-0.86916672,4.042534451,34.296311,4.73E-09,5.62E-07
GIPC2,-0.873200994,1.909426154,12.27058021,0.000460155,0.003689353
CES1P1,-0.873571374,4.012610224,27.04804362,1.98E-07,1.07E-05
ARMC4,-0.874500771,6.193535256,18.83448738,1.43E-05,0.000292047
LRRC74B,-0.874585455,5.602235517,12.90194487,0.000328241,0.002925226
IQCD,-0.874707884,5.723528358,39.38988195,3.47E-10,5.59E-08
PPP1R16B,-0.875509676,3.199374223,14.94426615,0.000110734,0.001324219
LOC107986961,-0.875608293,3.31582233,28.97108968,7.35E-08,4.86E-06
LOC101928212,-0.875854037,4.846128784,14.11434465,0.000172027,0.001834566
MORN2,-0.876281175,6.735247381,21.79496597,3.03E-06,8.94E-05
WDR86-AS1,-0.87631774,5.740348432,25.51431623,4.39E-07,2.01E-05
NLRP14,-0.87673924,-0.00943134,14.35757564,0.00015117,0.001670915
RTCA-AS1,-0.877763698,1.286385916,20.44020321,6.15E-06,0.000154696
LOC107985181,-0.878762148,2.15113987,9.545549128,0.002004349,0.010929855
LOC107986261,-0.878949209,0.130953553,13.62134291,0.000223629,0.002213027
SLC23A1,-0.879956989,4.807167627,7.231388088,0.007163979,0.027745927
MAP3K19,-0.880044604,6.980084996,19.33433252,1.10E-05,0.000237702
LOC101927234,-0.880244275,0.511785952,14.41007312,0.000147014,0.001632866
RSPH1,-0.880678884,8.338169248,20.56446382,5.77E-06,0.000146639
HMGCS2,-0.88085895,3.092452911,8.560485286,0.003435378,0.016048023
LRRC6,-0.886852665,6.383725297,26.31137003,2.91E-07,1.47E-05
SPATA24,-0.887317761,2.57179013,28.47008956,9.52E-08,5.92E-06
LOC101929626,-0.887490865,-0.180279413,13.81951852,0.000201235,0.002057154
WRB-SH3BGR,-0.887963353,4.476025699,23.92312637,1.00E-06,3.89E-05
CETN2,-0.889698429,8.007638372,22.80462281,1.79E-06,6.08E-05
LOC100506990,-0.889890927,4.699577584,28.22570332,1.08E-07,6.56E-06
DIO1,-0.894247486,1.567811018,7.716090302,0.00547308,0.022670291
ABCC6P2,-0.894479324,0.696085223,17.84250534,2.40E-05,0.000422987
KRT42P,-0.894911101,2.852699558,9.142382185,0.002497557,0.012790667
MANEA-DT,-0.895243528,0.433068856,18.26867517,1.92E-05,0.000354866
LOC100506851,-0.895502712,1.666743971,8.804649173,0.003004639,0.014610613
CFAP61,-0.895878016,5.0540636,18.02521424,2.18E-05,0.000392596
UMODL1-AS1,-0.896151317,4.312476925,10.47548253,0.001209692,0.007475092
HSD17B13,-0.896839947,1.025396931,6.511510169,0.010717845,0.037709432
LRRC18,-0.898122652,3.764120162,14.02643525,0.000180259,0.001898002
CCDC33,-0.89812969,6.515650792,20.77819152,5.16E-06,0.000134619
PNLDC1,-0.899304279,1.133327423,19.0048135,1.30E-05,0.000272403
LOC107985090,-0.902485828,0.243604862,15.16624416,9.84E-05,0.001226248
CCDC146,-0.902708393,7.772542805,20.59082942,5.69E-06,0.000145571
SMILR,-0.903391838,-0.229302382,8.885048936,0.002875153,0.014168541
SPATA4,-0.903679058,3.836245077,10.86204069,0.000981555,0.006424648
RYR3,-0.903761683,1.441982788,9.739802889,0.001803202,0.010088479
LOC100101148,-0.904010163,2.599897668,14.83856573,0.000117116,0.001378337
EFCAB1,-0.904318282,7.259342804,15.43379759,8.54E-05,0.00110437
CCDC181,-0.904919412,4.864204045,25.76903939,3.85E-07,1.84E-05
CFAP97D2,-0.905202313,4.586443154,19.56910994,9.70E-06,0.000217984
ELN-AS1,-0.905563938,4.984731908,14.28699806,0.000156945,0.001714241
CFAP161,-0.905975625,5.568275261,15.64494355,7.64E-05,0.001018718
TPPP3,-0.906181086,9.268712246,20.35850483,6.42E-06,0.000159699
LOC105372817,-0.90695378,1.155404741,15.18003267,9.77E-05,0.001224084
TEX55,-0.907755449,0.406884205,17.37048113,3.08E-05,0.000510799
SLC22A16,-0.907914501,2.2962288,11.8521704,0.000575942,0.004313146
CFAP299,-0.908588198,4.089228518,25.65664382,4.08E-07,1.91E-05
LOC107985941,-0.908884526,0.396170049,13.23005892,0.000275495,0.002574657
KLHL32,-0.909377442,2.325319166,13.89984377,0.000192814,0.001991702
C1GALT1C1L,-0.90981677,0.359136424,14.24183759,0.000160757,0.001737149
SPATA17,-0.910564204,5.793870603,20.50418322,5.95E-06,0.000150844
CD164L2,-0.910628292,4.898593789,18.19475135,1.99E-05,0.000365826
LOC105373440,-0.911886334,0.575993855,10.89993573,0.000961676,0.006348909
