Gene,logFC,logCPM,LR,PValue,FDR
MEP1A,-0.997077473,0.299899606,20.88007635,4.89E-06,0.000129356
ENPEP,-0.99903736,1.919127723,22.79923393,1.80E-06,6.08E-05
PIH1D3,-0.999576838,4.935063583,18.55048926,1.65E-05,0.000323134
LOC107985588,-0.999850712,0.045464298,25.8296149,3.73E-07,1.80E-05
ARMC4P1,-1.000576591,3.197279067,17.00288845,3.73E-05,0.000592645
ANG,-1.001590926,2.958243922,20.15663993,7.14E-06,0.000172522
MS4A8,-1.001828089,6.710130874,12.19085202,0.000480244,0.003790595
LOC105376106,-1.003541373,1.794716925,23.80754081,1.06E-06,4.08E-05
DRC1,-1.004308342,7.26767173,33.79758576,6.12E-09,6.75E-07
NCBP2L,-1.004807428,1.635605152,9.78244758,0.001761856,0.0098922
NELL2,-1.005562943,0.623427426,13.64904193,0.000220354,0.002191179
SPA17,-1.006432561,6.616964272,26.20473816,3.07E-07,1.53E-05
LOC107984527,-1.007056853,-1.118878034,12.46539425,0.000414561,0.003437048
KLHDC8A,-1.008082816,0.402053466,16.96277041,3.81E-05,0.000597883
C1orf87,-1.009419438,5.212587722,18.67461486,1.55E-05,0.000309948
MDH1B,-1.009527668,5.635160144,17.8070832,2.44E-05,0.000429497
STOML3,-1.011311788,6.392343103,14.61048865,0.000132177,0.001510565
CFAP52,-1.011760599,6.865883068,20.25223264,6.79E-06,0.000166202
COL28A1,-1.014265795,5.276486108,24.63776201,6.92E-07,2.86E-05
C1QTNF5,-1.014787534,0.975326815,18.04639954,2.16E-05,0.00038905
MFRP,-1.014787534,0.975326815,18.04639954,2.16E-05,0.00038905
NMBR,-1.016487503,-0.226850493,11.75817532,0.000605766,0.004454127
TEKT1,-1.017308478,7.771560947,19.47423071,1.02E-05,0.000224765
ANKRD44-AS1,-1.019201981,4.068376039,21.80334934,3.02E-06,8.93E-05
LOC388780,-1.019445882,2.085040124,18.85527687,1.41E-05,0.000289257
SRGAP3-AS2,-1.023145076,7.164684557,26.01562809,3.39E-07,1.66E-05
C6orf52,-1.02344704,2.154257156,20.741462,5.26E-06,0.000136325
PACRG,-1.029995472,5.298959368,22.47423391,2.13E-06,6.91E-05
LOC101928817,-1.031375918,6.937329754,14.06254807,0.00017683,0.00187204
NHLRC4,-1.03301841,5.180675223,16.96873772,3.80E-05,0.000597192
CCDC153,-1.033223326,4.942774428,21.62210226,3.32E-06,9.55E-05
LINC01908,-1.034331312,2.767729822,15.62444142,7.72E-05,0.00102614
LOC105371611,-1.036096996,0.067918065,16.3910045,5.15E-05,0.000763777
C11orf88,-1.036440372,6.432814491,26.16169099,3.14E-07,1.56E-05
HCG14,-1.036787817,0.772724242,11.4939441,0.000698233,0.004983233
MRLN,-1.038859223,0.963411296,12.49218381,0.000408658,0.003402397
LOC105370941,-1.040546374,0.177252875,25.53817131,4.34E-07,2.00E-05
GSTA3,-1.043636712,2.329111794,19.22685203,1.16E-05,0.000248545
DCDC2B,-1.044031912,5.141634792,14.78764965,0.000120321,0.001408709
LOC105374890,-1.045904252,0.309897114,17.85167892,2.39E-05,0.000421424
CHRNA9,-1.051833176,-0.200249889,22.66354659,1.93E-06,6.42E-05
LOC105379827,-1.052876236,2.744341549,9.766214574,0.001777481,0.009965753
DYDC2,-1.054262173,6.136791397,24.90405468,6.03E-07,2.57E-05
FAM183A,-1.055778026,6.349745856,19.85041554,8.37E-06,0.000195083
PIFO,-1.057954063,8.304632625,18.97184219,1.33E-05,0.000276055
LOC101928351,-1.060781859,0.381216037,22.7596812,1.84E-06,6.17E-05
TNNC1,-1.061885664,1.56860654,23.46558833,1.27E-06,4.70E-05
LINC00964,-1.06613381,2.323332036,22.17642537,2.49E-06,7.66E-05
SPAG8,-1.067511213,5.89177601,22.16431002,2.50E-06,7.68E-05
DAW1,-1.068526338,5.797556159,23.97459636,9.76E-07,3.83E-05
LOC101927057,-1.073222401,8.035839801,21.73372136,3.13E-06,9.13E-05
DYNLRB2,-1.075906605,5.194315565,16.19991501,5.70E-05,0.000827024
LINC02832,-1.077432958,0.497332867,12.73597818,0.000358688,0.003129901
SLC16A12,-1.083364058,2.968577967,20.0500413,7.54E-06,0.000180262
CCL15-CCL14,-1.084181402,3.098228684,15.59110757,7.86E-05,0.001039146
LOC101928217,-1.086767061,3.800965606,25.14977798,5.30E-07,2.31E-05
CAPS,-1.089238382,9.990196844,17.95626131,2.26E-05,0.000402942
LOC105372076,-1.095389166,1.790916903,24.32219883,8.15E-07,3.30E-05
LOC100996288,-1.097340261,-0.633541315,13.70964846,0.000213356,0.002136803
LOC107987233,-1.098225697,3.396639587,13.54577333,0.000232815,0.002274015
FAM166B,-1.10281832,6.471982225,27.53099768,1.55E-07,8.77E-06
CCL15,-1.103758621,2.89384538,15.87262001,6.78E-05,0.000932119
CATSPERD,-1.106543245,3.095280958,16.88144539,3.98E-05,0.000621584
MORN5,-1.114400598,6.037601825,16.12374734,5.93E-05,0.000851174
FAM13C,-1.115074856,2.533034849,23.9621166,9.83E-07,3.84E-05
TCTEX1D4,-1.120711379,4.31396326,11.97622472,0.000538836,0.004117527
CAPSL,-1.122851911,6.810296514,21.82619479,2.98E-06,8.86E-05
ADH6,-1.124873418,3.465929944,12.82264605,0.000342449,0.00302666
PHKG1,-1.134113456,1.477224774,18.31318504,1.87E-05,0.000349455
LOC105379829,-1.137278488,-0.917819558,15.73782559,7.28E-05,0.000982966
LOC728196,-1.148882708,4.007598535,25.13154779,5.35E-07,2.33E-05
LOC105377803,-1.150819153,-0.22210711,27.21184435,1.82E-07,9.96E-06
AKAP14,-1.152695326,5.708012254,24.09714494,9.16E-07,3.65E-05
PROS1,-1.161008955,6.008042515,26.49256989,2.65E-07,1.38E-05
LOC644656,-1.161087387,0.258750325,23.48919249,1.26E-06,4.68E-05
MIR34C,-1.181746751,1.244536767,28.49175475,9.41E-08,5.92E-06
LOC105377142,-1.194353768,-0.495400635,12.80338368,0.000345993,0.003051152
RPE65,-1.19584384,0.066382105,16.60566017,4.60E-05,0.00069862
PRRT1B,-1.207855948,1.912246636,14.8905178,0.000113934,0.001349946
SEC14L3,-1.219916144,2.597130072,11.88143308,0.000566963,0.004268832
SLC47A2,-1.240307663,2.317947976,17.03206883,3.68E-05,0.000588032
LOC105377873,-1.261594867,0.034075809,21.5285385,3.49E-06,9.94E-05
C9orf163,-1.267315864,0.160438349,19.26193753,1.14E-05,0.000245206
ERMN,-1.318380965,0.117660511,18.68872328,1.54E-05,0.000309229
C6,-1.379455209,3.872654015,28.51047565,9.32E-08,5.89E-06
LOC107985449,-1.399869257,0.822616751,22.31637025,2.31E-06,7.35E-05
RPTN,-1.43812584,2.427638179,8.481998965,0.003586778,0.016540019
CNTNAP5,-1.44956739,-1.379696968,13.50104805,0.00023843,0.002317395
MAL,-1.644938899,2.144767997,11.88098695,0.000567099,0.004268832
SPINK7,-1.692314481,-2.02960886,7.644718935,0.005693877,0.02331296
LOC105378179,-1.768074335,2.702077813,31.29477766,2.22E-08,1.89E-06
LOC107987206,-1.885831287,3.891379747,46.96136585,7.24E-12,1.94E-09
RN7SL1,-1.886591665,3.890854129,46.83322283,7.73E-12,1.99E-09
RN7SL2,-2.04456726,2.554967361,32.64684442,1.11E-08,1.03E-06
