Gene,logFC,logCPM,LR,PValue,FDR,gid
FAIM2,0.74183112,1.549856352,9.351098431,0.002228519,0.012325805,FAIM2
TLN2,0.741799932,1.568230507,9.041353952,0.002639401,0.014023268,TLN2
GPRIN2,0.740488233,0.90167614,5.933858623,0.014852685,0.048550056,GPRIN2
THSD4,0.74041244,4.048097677,13.39359814,0.000252485,0.002695251,THSD4
CDK5R1,0.740164466,2.370997186,15.95104476,6.50E-05,0.001094597,CDK5R1
E2F3,0.739067627,3.287183138,11.88970438,0.000564451,0.004671797,E2F3
PLEKHM1P1,0.737903746,3.576451264,31.27961433,2.23E-08,1.30E-05,PLEKHM1P1
RAD51-AS1,0.737894412,1.403370301,5.128553652,0.023535332,0.06793449,RAD51-AS1
CX3CL1,0.737636031,5.815535666,14.25272992,0.000159829,0.001956413,CX3CL1
SEZ6L2,0.735787566,3.0019342,13.1891178,0.000281579,0.002887402,SEZ6L2
HIF3A,0.735773662,1.205836573,13.44994755,0.000245013,0.002641629,HIF3A
SH3BP2,0.734725051,4.831512972,27.28384282,1.76E-07,3.63E-05,SH3BP2
ERN1,0.733212606,3.500598544,18.87177002,1.40E-05,0.000419003,ERN1
C4B,0.73253896,3.49517623,7.215477285,0.007227759,0.029316677,C4B
LOC107987398,0.731538194,1.619202925,15.36848303,8.85E-05,0.001330443,LOC107987398
SLC25A28,0.73091005,4.642559186,13.92988731,0.000189757,0.002203137,SLC25A28
SPEN,0.730706708,6.452121028,19.42743307,1.04E-05,0.000354616,SPEN
SDK2,0.728736855,3.625327458,8.167033133,0.004265863,0.019759539,SDK2
PRDM11,0.72847669,3.897741482,20.88399966,4.88E-06,0.000227486,PRDM11
ZNF335,0.728347159,4.329266243,19.0533636,1.27E-05,0.000391847,ZNF335
LOC105376781,0.726370112,0.610950331,7.373526113,0.006619102,0.027475002,LOC105376781
VIPR1,0.725979498,3.277016092,11.61161213,0.000655413,0.005152706,VIPR1
RET,0.725671347,1.574079706,15.49421488,8.28E-05,0.001272975,RET
SIN3B,0.725244261,4.86365809,29.7977559,4.80E-08,1.97E-05,SIN3B
IL4I1,0.724806231,1.280404103,9.881230605,0.001669732,0.009961021,IL4I1
ANKRD11,0.724171937,6.530554525,26.43870869,2.72E-07,4.89E-05,ANKRD11
SEC31B,0.723391196,2.581983857,11.42613135,0.000724183,0.005542589,SEC31B
SYNPO2,0.723342169,2.423493418,8.805356072,0.003003475,0.015389245,SYNPO2
AGAP10P,0.722137071,1.559283402,12.29568024,0.000454008,0.004048281,AGAP10P
KLF10,0.721713022,5.956841836,8.582415934,0.003394247,0.016787854,KLF10
LTBP1,0.721342288,4.441329031,4.14870561,0.041666363,0.103407052,LTBP1
TICRR,0.721149473,0.988079117,6.328411121,0.011881872,0.041564539,TICRR
KLF15,0.720396401,1.195939875,13.02521586,0.000307325,0.003080384,KLF15
PIM3,0.719449393,5.510381286,17.90274675,2.32E-05,0.000567853,PIM3
NKD1,0.719059615,0.320733914,4.731370212,0.029617282,0.080101887,NKD1
LPIN3,0.717897419,4.300127481,20.52372363,5.89E-06,0.00025491,LPIN3
PLK3,0.717420818,2.108823372,10.54817552,0.001163028,0.007711827,PLK3
BRIP1,0.717408879,1.999504019,10.08128004,0.001497832,0.009219543,BRIP1
SMOC2,0.716697003,-0.275276375,4.075183809,0.043517531,0.106571386,SMOC2
JAG1,0.715085808,6.795969324,18.26694162,1.92E-05,0.000508828,JAG1
ANGPTL2,0.714110706,1.60721711,8.959739297,0.002759943,0.014480353,ANGPTL2
NRCAM,0.714069661,1.732290569,6.029558584,0.014068251,0.046713768,NRCAM
ZBTB10,0.713535319,4.671589911,6.762641062,0.009308589,0.0350639,ZBTB10
LTB4R,0.713490776,4.906205148,11.76223328,0.000604447,0.004890287,LTB4R
ARID1A,0.711538988,6.54458152,23.85817083,1.04E-06,0.000101338,ARID1A
UBE2L6,0.711416414,5.822245847,5.959249384,0.014640273,0.048084653,UBE2L6
SMG1P3,0.711398668,0.904289491,9.341128474,0.002240675,0.012368375,SMG1P3
TOR1B,0.711273652,4.700244669,10.24278451,0.001372203,0.008663784,TOR1B
FASN,0.71125385,7.430418761,20.97303385,4.66E-06,0.000222366,FASN
SVIL2P,0.70981432,0.8093637,9.592434982,0.001953807,0.011212861,SVIL2P
LOC105377771,0.70971263,1.183037898,10.36921187,0.001281342,0.008267409,LOC105377771
CDHR1,0.709079717,2.135848674,6.185414176,0.012880755,0.043949358,CDHR1
TBC1D3K,0.708586775,2.497780082,10.49563687,0.001196568,0.007872018,TBC1D3K
SLAMF7,0.708571408,1.764440368,8.44155336,0.003667428,0.01777238,SLAMF7
BRD4,0.708202946,5.247365111,17.76652705,2.50E-05,0.000593129,BRD4
RUBCN,0.707917681,3.600362951,13.55661137,0.000231475,0.002544954,RUBCN
KMT2B,0.706602629,5.255307851,27.30306732,1.74E-07,3.63E-05,KMT2B
ZNF543,0.706058054,2.178430729,16.01281386,6.29E-05,0.001066593,ZNF543
KMO,0.70597842,1.543275861,4.34536107,0.037109898,0.094718655,KMO
SBK1,0.705674005,2.55904845,14.01705729,0.00018116,0.002139498,SBK1
PABPC1L,0.705575354,4.183002562,13.60371788,0.000225738,0.002507186,PABPC1L
POLE,0.705146412,4.214637029,15.28855801,9.23E-05,0.001365127,POLE
HUNK,0.704940785,2.165332781,8.672817895,0.003229914,0.016203204,HUNK
FBLN1,0.70442994,5.816825548,9.915479173,0.001638945,0.00983953,FBLN1
TBX1,0.703963588,3.771819091,17.57503145,2.76E-05,0.000620381,TBX1
PVRIG,0.703923587,1.672197599,10.51447378,0.001184432,0.007819422,PVRIG
SOGA1,0.702999308,5.435413373,19.75778009,8.79E-06,0.000313895,SOGA1
TNRC6C,0.702690408,3.193379316,21.00438536,4.58E-06,0.000219995,TNRC6C
PLEKHN1,0.702599915,3.046773153,11.02650228,0.000898185,0.00643905,PLEKHN1
ADAR,0.701727421,8.121378012,13.56301773,0.000230686,0.002541583,ADAR
AURKB,0.701241105,1.052445448,6.84870418,0.008870559,0.033810192,AURKB
MAP3K14,0.700752303,3.045545172,15.40579576,8.67E-05,0.001312559,MAP3K14
TRIB1,0.700354265,4.669064239,11.46131055,0.000710602,0.005490352,TRIB1
FAM157B,0.700141094,1.584362253,11.84782192,0.000577288,0.004744254,FAM157B
RASD2,0.700119349,1.48364395,9.515446861,0.002037495,0.011539692,RASD2
PLXNA2,0.69857135,5.688620807,21.13603704,4.28E-06,0.000215805,PLXNA2
MYC,0.698291417,4.728841572,9.733151279,0.001809739,0.010578992,MYC
MAPK8IP3,0.698161693,6.11856968,21.62713046,3.31E-06,0.000193014,MAPK8IP3
GNG4,0.698129295,0.435016791,4.423095007,0.03545567,0.091673724,GNG4
LOC105375213,0.696890918,0.95496609,9.128717708,0.00251628,0.013524212,LOC105375213
TP53,0.696319298,4.93994479,13.03509826,0.000305707,0.003070503,TP53
LOC112268437,0.696072391,2.604713087,21.06508169,4.44E-06,0.00021843,LOC112268437
LOC100130331,0.69593335,1.149074052,9.840762267,0.001706868,0.010122589,LOC100130331
MAFB,0.695848847,3.39963173,11.11793925,0.000854967,0.006237572,MAFB
PIK3AP1,0.695535525,2.970893224,6.926910921,0.008490822,0.032906992,PIK3AP1
C4A,0.695061631,5.005108033,5.838520551,0.015679005,0.050526065,C4A
KLHL29,0.693807942,2.931825624,13.49328016,0.000239419,0.00260362,KLHL29
FJX1,0.693658083,2.668200473,10.42551286,0.001242863,0.008085293,FJX1
KMT2C,0.693461295,6.482686855,35.00818662,3.28E-09,3.31E-06,KMT2C
GBP4,0.69325544,4.659314616,5.295638647,0.02137889,0.063121215,GBP4
CHD7,0.692826226,5.095379102,27.8441784,1.31E-07,3.26E-05,CHD7
SLC38A5,0.692781203,3.698954537,8.33725558,0.003884023,0.018524838,SLC38A5
TMEM63C,0.692609134,4.285270213,11.26879663,0.000788208,0.005885261,TMEM63C
LOC107987269,0.692511381,2.103440545,15.24064494,9.46E-05,0.001393376,LOC107987269
HES1,0.691402278,5.464816876,8.536655239,0.003480647,0.017136625,HES1
PMS2P9,0.691053066,0.938313627,7.645684818,0.005690829,0.024469106,PMS2P9
RHBDF2,0.690714851,4.293936103,12.16614221,0.000486649,0.004241677,RHBDF2
LOC101927979,0.689940887,1.729435943,10.63925296,0.001107124,0.007446085,LOC101927979
CAD,0.689808857,4.84619736,20.17785656,7.06E-06,0.000281754,CAD
PDZD2,0.689651909,4.653100683,20.70087504,5.37E-06,0.000237833,PDZD2
LAT,0.689183156,0.732378583,10.21728833,0.001391303,0.008739729,LAT
SPRED2,0.688402642,4.138259742,14.61986769,0.000131521,0.001725994,SPRED2
CEACAM19,0.688205517,0.976601381,11.41461618,0.000728685,0.005559032,CEACAM19
FRMD4A,0.68804113,1.920119155,11.11745899,0.000855189,0.006237572,FRMD4A
ARHGAP26,0.686548632,4.770893333,21.63760614,3.29E-06,0.000192812,ARHGAP26
FAM239B,0.685611797,1.470671791,10.89200861,0.0009658,0.006801126,FAM239B
IQCN,0.68556156,2.545224357,5.760037693,0.01639472,0.051974124,IQCN
ETV4,0.685460733,1.271878737,6.119878011,0.013367002,0.045099078,ETV4
PLXNA3,0.685393256,4.859223022,19.16365346,1.20E-05,0.000372889,PLXNA3
GATA6,0.684632352,2.413806045,9.564357842,0.001983916,0.011338271,GATA6
LTBP2,0.684293926,3.859237781,8.945298352,0.002781847,0.014554829,LTBP2
ZNF608,0.683787759,4.925108004,29.59241849,5.33E-08,2.06E-05,ZNF608
LOC101928762,0.682414648,0.391594136,7.090099887,0.007751093,0.030810593,LOC101928762
NAV1,0.682146484,4.688342806,16.45858876,4.97E-05,0.000906174,NAV1
MARVELD1,0.681246266,4.135787601,7.14897541,0.007500683,0.03009238,MARVELD1
SLC9A3-AS1,0.680702575,4.435404444,12.33949675,0.000443475,0.003984627,SLC9A3-AS1
PLEKHG4,0.679373928,2.17936421,7.077498565,0.00780579,0.030970964,PLEKHG4
TIAM1,0.678736006,4.148928513,13.42354347,0.000248486,0.002661971,TIAM1
TJAP1,0.678345929,3.941560259,14.01895608,0.000180977,0.002139011,TJAP1
MMP9,0.677513702,4.771806578,5.326493679,0.021003599,0.062317691,MMP9
EVC,0.677073205,4.454362394,17.21452273,3.34E-05,0.000697534,EVC
ITPR3,0.677058402,7.168769083,15.86212998,6.81E-05,0.001119764,ITPR3
LOC107987147,0.676836011,1.452583123,8.956543495,0.002764775,0.014500669,LOC107987147
HSF4,0.67662103,2.559846237,16.49822101,4.87E-05,0.000891575,HSF4
REXO1,0.676083648,4.322605221,22.23793992,2.41E-06,0.000170014,REXO1
ZBTB49,0.675079695,1.810071054,11.51042178,0.000692071,0.005379088,ZBTB49
PLK2,0.674951091,6.164272582,5.458133077,0.019477446,0.058935663,PLK2
SHISA5,0.674830533,6.442196122,10.81541461,0.001006585,0.006993773,SHISA5
PVRIG2P,0.674703512,4.35638148,16.28057189,5.46E-05,0.000963846,PVRIG2P
FAM157A,0.674317307,2.564402718,14.52678821,0.000138181,0.001785745,FAM157A
DENND4B,0.673620699,4.198445739,15.03080251,0.000105771,0.001494542,DENND4B
SEMA3B,0.67352129,2.007099175,8.594099927,0.003372539,0.016696885,SEMA3B
HIVEP3,0.672966385,2.032544435,11.11740352,0.000855214,0.006237572,HIVEP3
CBFA2T3,0.672051542,0.898434465,5.111673519,0.023765386,0.068439067,CBFA2T3
D2HGDH,0.671904312,4.616805702,20.73233332,5.28E-06,0.000236034,D2HGDH
LIFR,0.671858385,3.835989641,8.979023067,0.002730966,0.014383279,LIFR
MIR6891,0.67171675,2.495220853,4.282963325,0.038496178,0.09741745,MIR6891
ZFP36,0.671382386,5.38766696,11.96111899,0.000543222,0.004552492,ZFP36
SETD1B,0.670887997,4.947521558,20.48719357,6.00E-06,0.000256877,SETD1B
LOC202181,0.670615481,1.366799344,6.46103859,0.011026518,0.039477495,LOC202181
TAP2,0.670533175,5.378275107,9.526978056,0.002024732,0.011508679,TAP2
MDGA1,0.670043365,1.87795113,7.17456416,0.007394441,0.029768931,MDGA1
NUAK2,0.669626497,4.114135994,20.28509917,6.67E-06,0.000272372,NUAK2
MUC5AC,0.668739105,10.39836554,4.774115696,0.028890681,0.078672026,MUC5AC
BCL2,0.668159409,2.404960138,10.00146284,0.001564159,0.009500051,BCL2
NRM,0.666554964,1.804713799,4.318729488,0.037695057,0.095743036,NRM
MTCL1,0.666419889,2.308974806,17.65788982,2.64E-05,0.000605152,MTCL1
ADAMTS17,0.666408508,0.399180775,7.958368144,0.004786555,0.021569485,ADAMTS17
PCSK9,0.666145317,2.939620743,16.07902283,6.08E-05,0.001037246,PCSK9
CIART,0.666082796,1.880843175,4.837836094,0.02784181,0.076533311,CIART
HBEGF,0.665643742,2.608502019,11.72386633,0.000617036,0.00495341,HBEGF
JUNB,0.66562163,6.603071548,9.098356724,0.002558392,0.013698872,JUNB
PRICKLE3,0.665496577,3.299323489,15.68135677,7.50E-05,0.001189351,PRICKLE3
MIR3615,0.665041109,0.608084263,8.439659399,0.00367125,0.017785193,MIR3615
CRTC3,0.66491063,3.683585041,14.0917491,0.000174106,0.002075666,CRTC3
TYMP,0.664705361,6.351007371,7.671355154,0.005610431,0.024199187,TYMP
TNS2,0.664011403,3.630300838,11.19185686,0.000821571,0.006065088,TNS2
POGZ,0.663967568,6.054218365,18.67662142,1.55E-05,0.000447137,POGZ
OSGIN1,0.663263147,2.156925292,11.75313556,0.000607408,0.004899277,OSGIN1
LOC112268114,0.662854534,2.088573374,11.32143446,0.000766175,0.005769229,LOC112268114
NOTCH2,0.662791394,6.556409912,22.04158195,2.67E-06,0.000175568,NOTCH2
RAI1,0.662731557,6.525416077,20.32547697,6.53E-06,0.000271081,RAI1
CDK18,0.66190706,4.061754478,12.35525514,0.000439747,0.003965598,CDK18
HERC2P3,0.661479104,1.978532518,9.558598762,0.00199015,0.011365297,HERC2P3
LOC112267861,0.660836439,0.208704801,6.450530469,0.011091922,0.039683439,LOC112267861
PLSCR1,0.660512436,6.429880927,7.276859171,0.006984856,0.028584733,PLSCR1
DENND5A,0.660073256,4.62175986,13.4357797,0.00024687,0.002650674,DENND5A
IPCEF1,0.659201384,2.002738094,8.457176382,0.003636059,0.017677074,IPCEF1
SCAND2P,0.658656225,1.550812068,11.48435955,0.000701843,0.005435433,SCAND2P
MST1R,0.658002732,5.110407569,29.36284244,6.00E-08,2.16E-05,MST1R
ZSWIM8-AS1,0.657080929,0.38091643,5.505011177,0.018962059,0.057792958,ZSWIM8-AS1
LOC100129034,0.65698882,5.18540306,18.01252032,2.19E-05,0.000552483,LOC100129034
ACTG1P20,0.656980481,4.372357128,12.13226272,0.00049557,0.004287273,ACTG1P20
CLASRP,0.656868717,4.098513672,18.15877046,2.03E-05,0.000524754,CLASRP
RASSF10,0.65678902,2.732880243,11.91409968,0.000557107,0.004631312,RASSF10
HK2,0.656772847,5.300861063,14.07979703,0.000175216,0.002082324,HK2
CNKSR3,0.656407628,3.974092638,14.74698341,0.000122944,0.001655602,CNKSR3
STK17B,0.656397166,4.12023307,7.92726429,0.004869537,0.021828,STK17B
SMG1P1,0.656265662,5.188172585,19.49722432,1.01E-05,0.000345856,SMG1P1
ECE1,0.656107139,7.440706694,13.62532309,0.000223155,0.002488917,ECE1
CIC,0.655807628,5.834223745,17.99841193,2.21E-05,0.000553823,CIC
LOXL1,0.655440091,2.513982469,9.014328097,0.002678713,0.014182252,LOXL1
IL11RA,0.655210457,1.27682123,7.963041205,0.004774213,0.021539572,IL11RA
CORO6,0.654733639,0.894335908,4.494199634,0.034010031,0.088986924,CORO6
ANKRD13B,0.654202423,1.943152558,4.964057061,0.025879422,0.072740726,ANKRD13B
CBFA2T2,0.654018829,5.081007418,21.57500877,3.40E-06,0.000193014,CBFA2T2
PALM,0.653952362,4.55135613,8.929866417,0.002805449,0.014632701,PALM
OTX1,0.653772251,4.119220306,16.85573553,4.03E-05,0.000790819,OTX1
WNT3A,0.653437827,1.575821509,5.126859634,0.023558314,0.06797485,WNT3A
KCNJ14,0.652653263,0.838234455,7.944480234,0.004823427,0.021675827,KCNJ14
PCDHB13,0.652382915,1.452592587,13.44361196,0.000245842,0.002645161,PCDHB13
DUSP4,0.652160587,4.94498224,7.595186673,0.005852434,0.025035686,DUSP4
KIF7,0.651922465,0.600264395,5.146546966,0.023292648,0.067427261,KIF7
KSR1,0.651660657,4.327027499,19.33701042,1.10E-05,0.000358988,KSR1
TAF1C,0.65111363,4.504704257,16.39981306,5.13E-05,0.000925615,TAF1C
ZDHHC8,0.650781043,3.976070389,15.71248862,7.37E-05,0.001176112,ZDHHC8
EP300,0.650495921,6.486314829,22.1048503,2.58E-06,0.000174083,EP300
ZCCHC2,0.649997961,4.585426471,16.93580793,3.87E-05,0.000764449,ZCCHC2
LOC729737,0.649592914,1.813500623,9.211067939,0.002405563,0.013042366,LOC729737
ADAT2,0.648414548,2.281461121,15.12558796,0.000100591,0.001448095,ADAT2
LHX4-AS1,0.648134455,1.697963552,9.104709903,0.002549521,0.013661058,LHX4-AS1
MAPK11,0.647607332,2.246297321,8.704681968,0.003173938,0.015993147,MAPK11
TTC28,0.646500165,1.641012958,10.22003299,0.001389234,0.008736209,TTC28
NOS1AP,0.646018114,2.017453652,11.86570972,0.00057177,0.004716866,NOS1AP
TENM4,0.645323659,5.639400459,19.41999675,1.05E-05,0.000354616,TENM4
TNRC18,0.645070303,6.590900944,20.4714027,6.05E-06,0.000258012,TNRC18
HCN3,0.644869534,1.788846957,6.312273832,0.011990496,0.041866955,HCN3
LOC105373976,0.644663317,0.478175249,4.487922483,0.034135136,0.089157262,LOC105373976
KLF6,0.644304977,6.459920465,4.335034367,0.037335662,0.095021934,KLF6
GAL3ST2,0.642798807,1.422964709,6.236450812,0.012514703,0.04312904,GAL3ST2
CASKIN2,0.642682353,3.859090711,11.04478769,0.000889369,0.006406834,CASKIN2
AGAP6,0.642249779,2.938012495,11.17849496,0.000827509,0.006094353,AGAP6
ZNF462,0.64206297,4.570066742,24.64233353,6.90E-07,7.78E-05,ZNF462
RNA18SN3,0.641554201,4.996783793,4.014087802,0.045121626,0.109649984,RNA18SN3
PLEKHH2,0.641426787,3.805179739,21.69195846,3.20E-06,0.000191129,PLEKHH2
MAFG,0.641409656,4.730640358,24.91028982,6.01E-07,7.32E-05,MAFG
EVPLL,0.640249605,1.730417571,5.995107142,0.01434561,0.047384744,EVPLL
WHAMM,0.639854314,3.58746809,20.34294113,6.47E-06,0.000269358,WHAMM
GRM4,0.639531729,1.69333149,5.240180519,0.022070984,0.064608955,GRM4
DMRT3,0.63879333,2.31454383,6.241257171,0.012480785,0.043064504,DMRT3
TEPSIN,0.638219085,3.689270219,17.57352846,2.76E-05,0.000620381,TEPSIN
TMEM201,0.638066005,2.608337798,8.514696303,0.003522897,0.017299532,TMEM201
COL16A1,0.637747461,4.898763936,10.07521847,0.001502768,0.009238629,COL16A1
COL1A1,0.637037085,5.722712319,4.248978723,0.039273942,0.098936399,COL1A1
HERC2P2,0.636782711,5.678629621,13.53870335,0.000233694,0.002557931,HERC2P2
FOXK1,0.635922249,5.181762284,17.06991687,3.60E-05,0.000730484,FOXK1
ARHGAP30,0.635419577,1.689371087,10.64290446,0.00110494,0.007446085,ARHGAP30
DLK2,0.635366394,2.645599402,13.31468603,0.000263335,0.002770003,DLK2
DLL1,0.635189739,4.690923528,10.54982916,0.001161988,0.007711702,DLL1
FZD8,0.63448697,2.835885123,15.36513876,8.86E-05,0.001330443,FZD8
PATL2,0.632862962,2.061484288,6.324192634,0.01191017,0.041624969,PATL2
FOXM1,0.63283183,2.784715373,9.758057201,0.001785385,0.010481243,FOXM1
ZMIZ1,0.632715873,5.860858626,15.09807436,0.000102067,0.001457209,ZMIZ1
FOXE1,0.63229438,3.323623784,13.30643118,0.000264497,0.002776395,FOXE1
FLNC,0.631719972,1.159093431,5.927707329,0.014904621,0.048681435,FLNC
EFS,0.630819687,3.876602405,8.214237395,0.004156298,0.019429716,EFS
ARHGAP23,0.630424417,6.549957615,13.94806335,0.000187931,0.002192038,ARHGAP23
POU3F1,0.630341206,0.749153596,5.362520446,0.020574018,0.061308057,POU3F1
AP5B1,0.630260818,4.882359866,13.80708797,0.000202571,0.002311041,AP5B1
STAG3L5P-PVRIG2P-PILRB,0.630208021,6.147321744,13.3424884,0.00025946,0.002742723,STAG3L5P-PVRIG2P-PILRB
LOC105375913,0.630084735,1.402831877,7.178666396,0.007377553,0.029716782,LOC105375913
FLJ42627,0.629750197,3.330207765,20.08755169,7.40E-06,0.000287994,FLJ42627
ZNF275,0.629670657,2.735326227,7.983502089,0.004720554,0.021354885,ZNF275
IGSF9,0.629149269,4.540303789,7.703872821,0.005510247,0.023883008,IGSF9
ID3,0.629108772,4.315775593,11.21526754,0.000811271,0.00601288,ID3
NSD2,0.628235883,5.370577814,16.57969004,4.66E-05,0.000865623,NSD2
LOC100506472,0.627737,0.437052752,7.711909202,0.00548577,0.023797404,LOC100506472
FOXI1,0.627691675,1.987487157,6.905362771,0.008593759,0.033131375,FOXI1
TBKBP1,0.62743276,2.044646532,10.74977604,0.001042919,0.007163846,TBKBP1
FAM193B,0.627430475,4.634087833,15.98282448,6.39E-05,0.001079987,FAM193B
MXRA5,0.626489826,3.007545048,9.53727038,0.00201341,0.011459138,MXRA5
NRG1,0.626042034,2.402778095,8.028848179,0.004603811,0.020933342,NRG1
CEL,0.62596257,2.68041823,9.370430699,0.002205137,0.01222236,CEL
TRIO,0.625805686,6.399980137,26.06572611,3.30E-07,5.19E-05,TRIO
MIR6892,0.625633374,0.917175176,5.126516945,0.023562966,0.067975288,MIR6892
WARS1,0.625413033,6.932027462,7.589091047,0.005872255,0.025106258,WARS1
PPM1K,0.62537148,3.644075815,6.191102807,0.012839415,0.043887614,PPM1K
VWCE,0.625026931,1.800665976,5.410047452,0.020021172,0.060110847,VWCE
IL15RA,0.625000762,1.907927576,9.113186669,0.002537734,0.013607551,IL15RA
CDC25B,0.624813901,3.649312403,11.76440297,0.000603742,0.004887208,CDC25B
FBN1,0.624526068,2.655783229,4.47942396,0.034305282,0.089495903,FBN1
HCFC1,0.624174884,6.212508525,15.11504157,0.000101154,0.001451028,HCFC1
SLC29A2,0.623528242,2.925035267,11.37030901,0.000746275,0.005655454,SLC29A2
RNF31,0.622509644,5.045787832,21.48435196,3.57E-06,0.000193796,RNF31
RGMA,0.621859317,4.346950801,6.911614198,0.008563764,0.033041038,RGMA
MIR7847,0.621587788,1.40105289,6.913141785,0.008556451,0.033021257,MIR7847
ZNF783,0.621415023,3.234429029,15.8407848,6.89E-05,0.001120817,ZNF783
ANO1,0.621323647,2.8862987,13.09644841,0.000295856,0.003005318,ANO1
FLCN,0.62099783,5.059063198,8.050334741,0.004549525,0.020723936,FLCN
SLC25A45,0.620753406,1.011314516,9.300088951,0.002291427,0.012567905,SLC25A45
SEMA4D,0.620644904,3.84665828,18.49987129,1.70E-05,0.000470932,SEMA4D
CLDN15,0.620257193,2.153426177,12.57660768,0.000390605,0.003641172,CLDN15
TCF7L2,0.619965987,4.097210314,10.34749013,0.001296508,0.008319355,TCF7L2
PPP1R15A,0.619588111,6.771445263,11.07588444,0.000874577,0.006342047,PPP1R15A
PLEKHH1,0.619498362,4.848688674,20.83351358,5.01E-06,0.000231141,PLEKHH1
ALDH1B1,0.619223607,2.743841695,10.94050029,0.000940848,0.006656442,ALDH1B1
PRKCA,0.619079678,4.364240318,14.73067855,0.000124012,0.001664692,PRKCA
COL4A6,0.618527708,5.096115072,10.38147916,0.001272857,0.008245554,COL4A6
DPP9,0.617840442,4.951186179,14.221747,0.000162482,0.00197767,DPP9
SMG1,0.617633208,6.957886583,24.80565766,6.34E-07,7.42E-05,SMG1
TGIF2,0.616421622,3.849662727,8.154469638,0.004295516,0.019872518,TGIF2
LOC101929819,0.616116601,2.10095173,11.96121485,0.000543194,0.004552492,LOC101929819
BCL6,0.616034119,7.55935269,22.20227377,2.45E-06,0.000170054,BCL6
RNF44,0.615978869,5.126785696,14.72608215,0.000124315,0.001664692,RNF44
HSD11B2,0.615784274,1.375499443,6.886957078,0.008682695,0.03337027,HSD11B2
SYNPO,0.615113892,5.960020998,9.187839736,0.002436283,0.013189981,SYNPO
CHST3,0.615086502,4.15765688,8.521738102,0.003509292,0.017253747,CHST3
SMTN,0.614929262,2.893258987,9.225559678,0.002386597,0.012962802,SMTN
FUT1,0.614878968,1.803836538,8.320924832,0.003919096,0.018647263,FUT1
ZC3H12A,0.613339871,5.072431746,11.94338285,0.000548418,0.004576716,ZC3H12A
FANCA,0.613289374,3.044432393,14.84993398,0.000116412,0.001595649,FANCA
NCOR2,0.613090991,6.548837572,13.61385986,0.000224522,0.00249735,NCOR2
MYRF,0.613090068,4.214302292,10.551479,0.001160952,0.007711598,MYRF
ATXN7,0.613046852,4.716978739,23.97569622,9.76E-07,9.84E-05,ATXN7
UBR4,0.611861329,7.733364973,19.33886474,1.09E-05,0.000358988,UBR4
NECTIN1,0.611759669,6.878435059,8.73685566,0.003118418,0.015806612,NECTIN1
GPT,0.611677354,1.16741545,6.431686554,0.011210208,0.039936367,GPT
NKTR,0.611409383,6.002678369,17.4374135,2.97E-05,0.000644401,NKTR
BMP1,0.611351821,4.996833746,9.174353493,0.0024543,0.013264403,BMP1
GIGYF1,0.611346521,5.606533968,17.55004647,2.80E-05,0.000623358,GIGYF1
UNC13D,0.611046315,1.156600598,6.334775732,0.011839309,0.041454046,UNC13D
DOC2B,0.61073191,4.463300191,20.54001913,5.84E-06,0.000253475,DOC2B
LOC100130744,0.610727504,1.942688139,12.08960577,0.000507037,0.004356538,LOC100130744
TBC1D3D,0.609007586,1.866389762,7.717680533,0.005468261,0.023728261,TBC1D3D
LAMB1,0.608721783,6.326648962,11.98832655,0.000535348,0.004520088,LAMB1
FGFRL1,0.60838606,4.560938839,15.63932238,7.66E-05,0.001209278,FGFRL1
ARAP3,0.607918958,4.618508883,12.14675981,0.000491732,0.004271199,ARAP3
THBS3,0.607732511,3.359130849,14.53395205,0.000137656,0.001783273,THBS3
CELSR2,0.607659926,6.741750713,12.3921309,0.000431147,0.003897352,CELSR2
ZDHHC14,0.607502936,0.877639297,5.584009118,0.018125185,0.056010825,ZDHHC14
CSAD,0.606579351,3.727535993,11.21651975,0.000810724,0.00601288,CSAD
TNFRSF10B,0.606504323,5.956579799,17.24758921,3.28E-05,0.000689312,TNFRSF10B
PLK1,0.606388826,2.621206565,9.444183859,0.002118197,0.01189419,PLK1
LOC100288203,0.606374576,1.619690866,7.803275865,0.00521516,0.022893053,LOC100288203
KAT2A,0.605609388,4.897421906,20.46255645,6.08E-06,0.000258012,KAT2A
TFAP2A,0.605006679,4.480776653,16.20130955,5.70E-05,0.000995719,TFAP2A
KCND3,0.604877728,1.123458093,5.421444587,0.019890896,0.059839073,KCND3
PLEKHH3,0.604830778,4.95379989,9.447638975,0.002114211,0.011876219,PLEKHH3
NUDT17,0.60476908,0.540265499,6.831602634,0.008955887,0.034058076,NUDT17
MROH6,0.604393359,3.016686476,9.888264635,0.001663362,0.009934787,MROH6
PLEC,0.604298176,8.858641649,18.83676657,1.42E-05,0.000424238,PLEC
MIDN,0.604167539,6.050602006,17.88992674,2.34E-05,0.000569303,MIDN
PFKFB4,0.603724146,2.68708464,11.5098497,0.000692284,0.005379088,PFKFB4
BCAM,0.603653883,7.292163262,8.539044509,0.003476081,0.017125309,BCAM
PLEKHG6,0.603490117,3.280902903,10.89062169,0.000966524,0.006803049,PLEKHG6
RNA18SN5,0.603458613,5.542651126,3.951558639,0.046827975,0.112626365,RNA18SN5
GDPD5,0.603411432,1.837612148,5.424236062,0.019859122,0.059782394,GDPD5
ATXN7L2,0.602916716,2.081848798,7.323266876,0.006806757,0.028026242,ATXN7L2
