Gene,logFC,logCPM,LR,PValue,FDR,gid
NOCT,0.975725418,1.301073615,13.00569984,0.000310544,0.003098264,NOCT
MLKL,0.974342946,2.437705798,12.67595266,0.000370388,0.00351427,MLKL
TNFRSF25,0.970101859,2.677053455,28.64414716,8.70E-08,2.51E-05,TNFRSF25
VEGFA,0.964726097,5.575841703,28.36513955,1.00E-07,2.71E-05,VEGFA
PHLPP2,0.959957374,3.155203478,13.29120553,0.000266654,0.002785483,PHLPP2
PLA2G4B,0.959846005,3.963355139,22.6305192,1.96E-06,0.000152967,PLA2G4B
STAT1,0.959604366,7.738277488,8.00603123,0.00466218,0.02114147,STAT1
ADM,0.95627771,2.629311902,12.57676463,0.000390572,0.003641172,ADM
CDH24,0.954953787,2.62394714,15.10469949,0.00010171,0.001453478,CDH24
CACNB1,0.954344094,1.498013877,18.53534546,1.67E-05,0.000464806,CACNB1
FCGBP,0.952841939,7.687148476,21.59233564,3.37E-06,0.000193014,FCGBP
PSMD6-AS2,0.947778909,0.570955109,8.81763791,0.002983326,0.015311974,PSMD6-AS2
AGER,0.944512397,1.491523547,15.43802046,8.53E-05,0.001296865,AGER
ELMSAN1,0.943338392,4.943598214,23.5204566,1.24E-06,0.000113833,ELMSAN1
BCL3,0.938693248,4.049146772,17.180421,3.40E-05,0.000700817,BCL3
SCNN1D,0.93696655,1.190015733,15.88884071,6.72E-05,0.001112563,SCNN1D
DHX58,0.93587314,4.843054993,17.92036657,2.30E-05,0.000566761,DHX58
LOC100129917,0.935495743,0.486518153,7.633405005,0.005729703,0.024609017,LOC100129917
STAT2,0.935318277,6.456905418,15.88018262,6.75E-05,0.001115008,STAT2
CREBBP,0.933019574,6.241249019,28.93931514,7.47E-08,2.37E-05,CREBBP
SLC12A4,0.932812632,4.865869097,14.38362161,0.000149093,0.001867301,SLC12A4
GBP1,0.9317131,4.986467182,8.775733035,0.003052645,0.01558823,GBP1
PXDN,0.931386226,4.787227844,11.92024904,0.000555271,0.004623684,PXDN
CPEB2,0.930533049,3.605185547,8.828069906,0.00296632,0.015252353,CPEB2
MIR3614,0.929433614,1.265383273,13.8334586,0.000199747,0.002287478,MIR3614
PIEZO1,0.929021685,5.924891919,22.90262649,1.70E-06,0.000139901,PIEZO1
