Gene,logFC,logCPM,LR,PValue,FDR
FOXN1,1.134827715,1.571270684,21.48622944,3.56E-06,4.67E-05
CRYBG2,1.130087487,3.86037653,9.244699878,0.00236178,0.008243054
ZFP36,1.129131787,5.281645582,36.92820737,1.23E-09,7.53E-08
LINC00641,1.12590024,2.615867524,19.79399713,8.63E-06,9.26E-05
FJX1,1.124476925,2.691604442,46.67862718,8.36E-12,1.12E-09
NOCT,1.123659784,1.915122701,10.20271936,0.001402337,0.005445088
KLF4,1.123341761,5.065542551,24.81720164,6.30E-07,1.20E-05
RUBCN,1.122973747,4.051108144,13.92626943,0.000190123,0.001083671
ARHGAP30,1.122717199,0.876000437,19.56884536,9.70E-06,0.000102361
KCNC3,1.117939529,1.069144688,20.45841571,6.09E-06,7.04E-05
ZNFX1,1.117450279,7.176645976,8.875731772,0.002889864,0.009709531
ADAM19,1.116802708,4.583318982,14.98250739,1.09E-04,6.87E-04
FAM83G,1.116171483,5.207756997,50.2793868,1.33E-12,2.40E-10
MN1,1.114524263,1.674214743,17.1046289,3.54E-05,2.80E-04
MERTK,1.114450524,2.448207144,11.11584444,0.000855933,0.003654884
CEMIP,1.114237686,2.116130397,30.59636811,3.18E-08,1.05E-06
SDK2,1.113471725,3.776874705,17.04582468,3.65E-05,0.000287271
S1PR2,1.111803844,1.43658261,25.60768591,4.18E-07,8.63E-06
COL27A1,1.110562229,3.997484458,17.27074507,3.24E-05,0.000261735
AVIL,1.109218731,2.435240751,12.12162495,0.000498405,0.002361719
EHD2,1.107701979,5.469355921,57.99002021,2.63E-14,9.81E-12
CEACAM19,1.107608604,1.894141154,30.77268436,2.90E-08,9.79E-07
TGM1,1.107582,3.899596598,7.388286428,0.006565,0.019102319
TNFRSF25,1.107071093,2.603734723,32.40206831,1.25E-08,5.08E-07
CDC42EP1,1.104631671,4.75969512,26.75660369,2.31E-07,5.37E-06
ZSCAN12P1,1.10231291,1.479711152,13.5339764,0.000234283,0.001281731
MROH6,1.09880814,2.211012997,23.51351995,1.24E-06,2.04E-05
IQCN,1.096828189,2.427721699,6.288782338,0.01215045,0.031391982
PPRC1,1.096740763,4.312661928,62.89555892,2.18E-15,1.32E-12
PDZD2,1.095330154,4.985991582,18.41617672,1.78E-05,0.000164658
LOC107985216,1.095166757,0.31278423,15.17231487,9.81E-05,6.32E-04
LAMA5,1.093216506,7.608835928,41.51326107,1.17E-10,1.05E-08
COL18A1,1.092799124,4.775629281,39.7871215,2.83E-10,2.20E-08
RHOF,1.09257751,1.286987612,6.074888397,0.013711696,0.034748258
RTN4R,1.091932552,0.96282322,28.38143183,9.96E-08,2.70E-06
KDM6B,1.090004149,5.028066235,63.21062388,1.86E-15,1.17E-12
ITGA5,1.089214531,4.896576649,26.39546979,2.78E-07,6.19E-06
HCG4,1.089084635,1.319012064,19.34323733,1.09E-05,1.12E-04
PRKXP1,1.08893286,2.319245954,28.28518034,1.05E-07,2.82E-06
EGR3,1.088650267,0.881651941,19.92226122,8.07E-06,8.83E-05
EFNB2,1.087854253,4.514245823,34.30896361,4.70E-09,2.26E-07
LRRC75B,1.086515487,1.268017462,15.19839843,9.68E-05,0.000624951
HK2,1.086478297,5.656163825,14.47052609,0.00014237,0.000857054
HLF,1.08544475,2.212839287,18.5211378,1.68E-05,0.000157565
RGS20,1.085165429,0.969402705,9.77762311,0.001766485,0.006554293
STK17B,1.084870238,4.327259409,12.94774568,0.000320307,0.001654737
GUCY2D,1.084317566,1.243775888,23.02279321,1.60E-06,2.49E-05
TICRR,1.083638951,0.522476611,19.19875048,1.18E-05,1.18E-04
PITPNM2,1.083160991,1.996549155,31.81540023,1.70E-08,6.49E-07
PARP14,1.082819129,7.718427561,11.80098619,0.000591994,0.002694542
PGF,1.081849915,0.487866626,17.35955019,3.09E-05,2.53E-04
UBAP1L,1.081288581,1.294802821,8.207260353,4.17E-03,0.013125627
CEACAM1,1.079124451,4.734298914,10.10203964,0.001481053,0.005695141
DUXAP9,1.078529225,-0.167048498,9.261393916,0.002340348,0.008196642
TYMP,1.077754239,6.777422675,16.49268621,4.88E-05,3.66E-04
DHX58,1.07343572,4.808484431,7.968015735,4.76E-03,0.01462189
SPEN,1.072905882,6.375659141,54.29508979,1.73E-13,4.48E-11
LOC107987269,1.072754901,2.106884157,25.34610011,4.79E-07,9.62E-06
CYP2C19,1.072002983,0.082677717,13.83619592,0.000199457,0.001130902
HBEGF,1.071737413,4.445691859,45.55540033,1.48E-11,1.75E-09
SEMA6A,1.070732375,2.667218198,23.56266929,1.21E-06,2.00E-05
PLXND1,1.070259579,2.658168416,26.35978681,2.83E-07,6.28E-06
ZC3H4,1.069973665,5.195676006,52.87214307,3.56E-13,8.15E-11
KCP,1.06988109,1.143509938,17.04422616,3.65E-05,2.87E-04
C6orf141,1.069755853,1.194338925,8.599167526,3.36E-03,0.011004484
KCNQ5,1.069100421,0.924500696,11.69803067,0.000625663,0.002818093
GABRE,1.068551762,5.014637624,14.21795544,0.00016281,0.000957599
AGO2,1.067896444,5.931453506,58.80096136,1.74E-14,7.53E-12
MMP17,1.066573563,0.434077834,10.92155249,0.000950519,0.003985589
GLI2,1.066133286,2.687995314,40.53215037,1.93E-10,1.60E-08
TRIM36,1.063682772,2.080275094,10.56475581,0.001152643,0.004650684
TET3,1.062719907,5.806730809,69.38199723,8.11E-17,7.66E-14
ARHGAP23,1.062010349,6.282090051,33.87602036,5.87E-09,2.75E-07
ARTN,1.061203662,1.634998371,22.98603696,1.63E-06,2.52E-05
FAM155B,1.059680531,1.088345193,13.46343085,0.000243259,0.001320796
FASN,1.059070903,7.494037942,34.28886187,4.75E-09,2.28E-07
SLC25A25-AS1,1.057130839,3.246348746,19.18549034,1.19E-05,0.000118895
MAP3K14,1.056702922,3.11360175,37.69075522,8.29E-10,5.45E-08
MICB,1.056212575,2.294445494,33.96710923,5.61E-09,2.64E-07
NPIPB4,1.055493289,1.294875101,22.41359025,2.20E-06,3.18E-05
RREB1,1.054436018,5.600513624,65.82712167,4.92E-16,3.92E-13
PDGFB,1.052595287,2.786909129,16.83848967,4.07E-05,3.15E-04
COL6A1,1.052105824,3.009961833,21.66831335,3.24E-06,4.33E-05
PVR,1.051066685,4.779266455,42.40220531,7.43E-11,7.15E-09
UCP3,1.050426495,1.161255619,23.47093978,1.27E-06,2.07E-05
PHLPP2,1.048815487,2.963763672,26.68905718,2.39E-07,5.50E-06
ZHX2,1.048779466,3.866088502,34.47111083,4.33E-09,2.14E-07
PLEKHG4,1.047503856,2.450512759,22.68346977,1.91E-06,2.86E-05
GATA3,1.046548822,1.984060354,15.009644,1.07E-04,6.79E-04
TP53,1.044615467,4.947826186,58.36207874,2.18E-14,8.67E-12
ZNF296,1.044344745,1.612618906,15.40662855,8.67E-05,5.75E-04
TNRC18,1.043370466,6.363639734,52.97429562,3.38E-13,7.93E-11
CIART,1.042769249,1.927204934,6.936337884,0.008446186,0.023434756
EDNRA,1.042361826,0.154344156,11.35322828,0.000753169,0.003286636
C3,1.038808623,10.78701423,20.40352667,6.27E-06,7.20E-05
KLHL29,1.037502324,2.727117112,35.58073973,2.45E-09,1.34E-07
CASKIN2,1.035801584,3.743179446,33.80268002,6.10E-09,2.84E-07
WIPF1,1.035382688,0.262649648,11.97487687,0.000539226,0.00250567
EPGN,1.034901527,2.336426909,8.013736148,0.004642386,0.014328961
AGER,1.032920469,1.331732275,18.83753747,1.42E-05,1.38E-04
SAP25,1.031736352,0.614888752,19.05948961,1.27E-05,0.000125593
MUC1,1.031635235,7.915304895,18.15158899,2.04E-05,0.000184209
SHISA5,1.030351549,6.554375581,22.06811972,2.63E-06,3.68E-05
USP6NL,1.028908087,5.183965888,19.24116888,1.15E-05,1.16E-04
AFAP1,1.02817948,5.314637818,71.80035642,2.38E-17,2.40E-14
NUAK2,1.028126888,4.295677746,51.71253121,6.43E-13,1.28E-10
PTCH1,1.026654256,3.712105902,26.84275847,2.21E-07,5.19E-06
TOR1B,1.025371819,5.450450518,13.54884713,0.000232434,0.001274383
KRT17P1,1.025121052,3.252612241,51.24647778,8.15E-13,1.56E-10
ALOX15B,1.023480892,4.218129896,9.483733494,0.002073017,0.007447389
TJP1,1.022169069,6.78952222,17.02285689,3.69E-05,0.000289861
IGFBP3,1.021994331,8.266927866,13.29810561,0.000265674,0.001418557
POU2F2,1.018861043,2.700277854,28.13311699,1.13E-07,3.01E-06
PLEC,1.01810331,8.658355204,23.19549098,1.46E-06,2.31E-05
OBSCN,1.017300334,5.443369402,25.96697985,3.47E-07,7.38E-06
TROAP,1.015474293,1.06492673,17.48944968,2.89E-05,2.40E-04
TONSL,1.015191805,1.893391212,26.74646705,2.32E-07,5.39E-06
LGR6,1.014410817,0.897984674,15.06738787,1.04E-04,6.62E-04
SYNPO,1.013754952,5.714263268,39.51666294,3.25E-10,2.46E-08
TRIB1,1.013467944,4.657186123,24.29626198,8.26E-07,1.49E-05
ACTBL2,1.011854062,1.276135601,6.142857977,0.013194389,0.033684578
SCARF1,1.011685224,0.819976356,16.94489736,3.85E-05,0.000300296
CCAT1,1.011523891,2.372159155,7.919754305,0.004889791,0.014945578
E2F3,1.011416242,3.786458015,21.94797168,2.80E-06,3.87E-05
NLGN2,1.009677618,2.860667847,50.364713,1.28E-12,2.33E-10
CDC25B,1.007978162,3.863689997,45.7659394,1.33E-11,1.61E-09
TAP2,1.007824385,5.952435869,9.054806118,0.002620052,0.008980658
