Gene,logFC,logCPM,LR,PValue,FDR
DUSP10,1.051210503,5.181280138,7.91952594,0.004890408,0.962267259
SNORA100,0.947157981,2.862993352,7.877108677,0.005006446,0.962908123
IFI35,1.388292132,4.388760753,7.871940823,0.005020774,0.962908123
HNRNPA1P10,-0.616505241,3.573221035,7.81580216,0.005179135,0.980863516
DUOXA2,2.620688132,1.16348411,7.783444321,0.005272717,0.981989866
CCN1,1.758544695,5.983489755,7.769114426,0.00531471,0.981989866
LAMP3,1.704592866,4.52159792,7.700256073,0.005521299,0.996621727
DCST1-AS1,-0.816851805,1.524974889,7.651787623,0.005671609,0.996621727
KMO,2.293539709,3.581106592,7.592044552,0.005862642,0.996621727
LOC103021295,1.004346159,3.127647797,7.531147056,0.006064129,0.996621727
BISPR,0.730907069,2.845793195,7.491086449,0.006200514,0.996621727
CD70,3.491932876,-0.423026708,7.488714781,0.006208685,0.996621727
TRIM25,0.68844203,5.947952962,7.424571699,0.006433914,0.996621727
TMPRSS11E,-1.161421766,2.905896168,7.313254731,0.006844784,0.996621727
HES1,0.59591534,5.550256494,7.281605214,0.006966426,0.996621727
NR4A1,1.010988602,1.767830898,7.13255517,0.007569678,0.996621727
H2BC12,0.861777032,5.141402772,7.066384407,0.00785436,0.996621727
DDIT3,1.066035209,4.211422831,7.052976958,0.007913363,0.996621727
LOC105373098,1.649203699,1.155900803,6.991945486,0.008187731,0.996621727
MICB,1.936478236,1.060208817,6.960927034,0.008330886,0.996621727
TMEM225B,0.61654526,5.276014552,6.950394562,0.008380075,0.996621727
BACH2,1.400580936,1.173465673,6.907363416,0.008584148,0.996621727
JUN,0.802377344,6.838165653,6.901910902,0.008610367,0.996621727
STAT2,0.887324161,6.527571267,6.849577099,0.008866226,0.996621727
MIR5047,-0.620613073,5.161709465,6.809933742,0.009065213,0.996621727
SIDT1,0.610241283,4.187479503,6.806808195,0.009081095,0.996621727
PLK2,0.974931816,7.358848125,6.793398712,0.009149555,0.996621727
HELZ2,0.840501317,5.412305408,6.787730692,0.009178651,0.996621727
IRF9,0.61915047,6.441716537,6.773525772,0.009251988,0.996621727
FRMD3,1.413714528,1.801294871,6.766552502,0.009288209,0.996621727
PKD1P4-NPIPA8,-0.764778853,2.401173288,6.755051518,0.009348265,0.996621727
IK,-0.659697175,7.731618796,6.702616708,0.009627152,0.996621727
LOC100419583,0.890995809,4.366539166,6.65769212,0.00987287,0.996621727
SP110,1.120417087,4.914655755,6.654942828,0.009888114,0.996621727
LINC02257,-1.09447762,0.805618771,6.60264864,0.010182718,0.996621727
CCNI,0.546120706,6.961568825,6.534761819,0.010578639,0.996621727
PKD1L1,0.754342094,1.840368645,6.493966507,0.01082412,0.996621727
HACD1,0.931021494,1.800360042,6.4625248,0.011017299,0.996621727
LOC107986547,-1.120376994,-0.227102009,6.458799647,0.01104042,0.996621727
TCIM,1.812374248,3.706245216,6.430924134,0.011215021,0.996621727
SLC39A8,0.891357772,3.195178422,6.399529274,0.011415063,0.996621727
