Gene,logFC,logCPM,LR,PValue,FDR
OASL,4.244347891,3.197512895,48.92148585,2.66E-12,4.04E-08
RGS1,4.911207169,1.174369401,41.27171784,1.32E-10,1.00E-06
IFI44L,4.611437646,6.279619539,33.90364227,5.79E-09,2.92E-05
HERC5,2.963385766,2.835408226,30.3962921,3.52E-08,0.000133405
MX2,3.39960635,5.63294812,26.79046352,2.27E-07,0.000687109
RSAD2,3.353292155,4.425416328,25.87552564,3.64E-07,0.000919557
ZBP1,5.246265045,-0.102906241,24.54621407,7.25E-07,0.001570266
IFIT1,3.94135622,7.088124251,23.84278566,1.05E-06,0.001979723
IFI6,3.975569619,7.227336007,21.38797387,3.75E-06,0.006314882
ISG15,3.616688192,5.995244538,20.79821494,5.10E-06,0.007731632
CMPK2,2.892176828,4.422498907,20.18000541,7.05E-06,0.009708465
IFIT2,3.243964904,6.613106698,19.84111486,8.42E-06,0.009937189
XAF1,2.477530741,6.286088363,19.81604397,8.53E-06,0.009937189
OAS2,1.849515604,7.108248253,19.51106902,1.00E-05,0.010824137
DDX60L,1.616830299,5.306364519,18.3364859,1.85E-05,0.017952405
TNFSF13B,2.978329417,1.273358253,18.29117044,1.90E-05,0.017952405
EGR1,1.442175833,6.007051707,18.01537247,2.19E-05,0.019529488
IFI44,1.755460677,6.304529525,17.62399532,2.69E-05,0.02061255
CXCL11,5.408208494,2.951730508,17.60525384,2.72E-05,0.02061255
IFIT3,3.28588609,6.908349311,17.60344558,2.72E-05,0.02061255
CXCL10,4.467483759,4.225781313,17.11128452,3.53E-05,0.025433642
LOC107987206,-2.153435076,3.938302742,16.81489454,4.12E-05,0.027145712
RN7SL1,-2.153435076,3.938302742,16.81489454,4.12E-05,0.027145712
IFITM1,2.652528928,6.846522304,16.60946623,4.59E-05,0.028989701
CABP5,4.820024386,-0.927042971,15.37590998,8.81E-05,0.053394794
CXCL9,4.995512721,-0.689809136,15.11670867,0.000101065,0.058893575
MX1,2.109225855,7.661289199,14.72839846,0.000124162,0.069673256
DDX60,1.345940957,5.643113621,14.43552177,0.000145041,0.07848248
HERC6,1.641456003,6.108873471,14.36539203,0.000150544,0.078651424
SPDYA,2.523985905,-0.109692897,14.28475841,0.000157132,0.079356928
IL6,4.811608659,-0.296495303,13.7472483,0.000209127,0.10220911
EPSTI1,2.283181026,4.731791168,13.40102891,0.000251486,0.119070909
IFIH1,1.549116405,5.355320784,13.0900744,0.000296865,0.134191566
MIR1244-1,1.400419553,3.105509273,13.06331422,0.000301136,0.134191566
DDX58,1.585738717,5.734769008,12.9367986,0.000322186,0.139469513
PLA2G4C,3.267421354,0.848253135,12.58355656,0.000389155,0.163780404
OAS3,2.061931541,6.792080561,12.47358894,0.000412746,0.167312039
RN7SL2,-2.365018226,2.742305789,12.44268156,0.000419633,0.167312039
OAS1,1.648499743,6.296073646,12.3638418,0.000437729,0.170052115
SAMD9L,1.497943985,6.008232928,12.12673975,0.000497039,0.188266097
TNFAIP3,1.633451558,6.336199041,11.88958255,0.000564488,0.208598863
MIR7705,1.50077826,1.001631995,11.74801586,0.000609081,0.219718842
LOC105378179,-2.083342509,2.879179695,11.64449551,0.000643928,0.226887266
EDN1,2.60531077,3.423614071,11.56024673,0.000673769,0.23200627
ZNF664-RFLNA,-1.313387261,1.810533729,11.07536136,0.000874824,0.294543419
CXCL2,3.127296037,3.711815752,10.95119179,0.000935434,0.308103583
MAL,-3.574064267,3.366226155,10.74459739,0.001045842,0.33713938
FOS,1.691738426,5.086781411,10.64382831,0.001104388,0.348595556
HSH2D,1.632773525,4.058722498,10.5367933,0.001170213,0.361834576
LOC644656,-1.642625391,0.184201425,10.3388274,0.001302607,0.394716086
TNNT3,-0.857297088,4.80860402,10.19874887,0.00140536,0.41708499
LOC105372942,1.802872805,0.957448698,10.16478722,0.001431484,0.41708499
ISG20,1.575876312,4.097397688,9.98505592,0.001578158,0.451144645
MEG3,3.778656904,0.13217461,9.93333948,0.001623118,0.455404806
IFITM3,1.978637675,7.616244341,9.840584466,0.001707033,0.470240901
SLC13A4,-1.155957959,0.645313969,9.796046928,0.001748874,0.473164147
BATF2,1.882000419,2.436133053,9.702390824,0.001840284,0.489160476
IRF7,1.31399246,4.693952268,9.570409342,0.001977387,0.516541181
CNEP1R1,0.824176103,2.911162134,9.379953931,0.002193711,0.563337459
ITGAM,1.645650792,0.650320792,9.294327728,0.002298645,0.571923874
TNFSF10,1.022809695,7.597308891,9.291143489,0.002302644,0.571923874
USP18,1.260914904,4.125147164,8.907618712,0.002839833,0.693972836
IFIT5,0.940002804,4.756269501,8.834790309,0.002955416,0.710754081
CXCL8,1.67431435,6.987463407,8.686304561,0.0032061,0.752871499
NT5C3A,1.201153269,4.881872409,8.672809502,0.003229929,0.752871499
GBP1P1,1.189397475,1.136567556,8.624016963,0.003317594,0.755038631
SERPINB2,-0.778819122,6.39454174,8.612359772,0.003338894,0.755038631
BST2,1.411493873,6.57472397,8.571194294,0.003415231,0.760943512
C6orf62,0.742481128,6.501140483,8.522585968,0.003507657,0.770210338
CSF1,2.4069698,4.37347385,8.363123917,0.003829117,0.828785096
NLRC5,0.919302109,3.332276038,8.297377989,0.003970236,0.838185183
MYZAP,-0.775164303,2.335186465,8.291461693,0.003983191,0.838185183
LOC105370941,-1.286012428,0.122009769,8.262208564,0.004047885,0.840130279
IFI27,1.759765076,7.863375903,8.075046203,0.004487896,0.918866444
PARP12,0.939802207,4.994708535,8.034116804,0.004590439,0.927329829
STAT1,1.106477107,7.615829402,7.986535603,0.004712651,0.939491702
