genes	cluster
EBNA1BP2	AgeDown
ECRG4	AgeUp
EDA2R	AgeUp
EDN2	AgeUp
EDN3	AgeDown
EEF1B2	AgeDown
EEF1B2P2	AgeDown
EEF1E1	AgeDown
EFHD1	AgeUp
EGLN3	AgeUp
EIF4A2P1	AgeDown
EIF4EBP1	AgeDown
ELAVL3	AgeUp
ELMO1	AgeUp
ELN	AgeUp
ELOA2	AgeUp
ENHO	AgeDown
ENO1	AgeDown
ENOSF1	AgeDown
EPHA5	AgeUp
EPHA6	AgeUp
EPHA7	AgeUp
EPRS	AgeDown
ERO1B	AgeUp
ERVMER34-1	AgeDown
ESCO2	AgeDown
ESM1	AgeDown
ESPL1	AgeDown
ESRP1	AgeDown
ETNPPL	AgeDown
EXO1	AgeDown
EXOC3L2	AgeDown
EXOSC7	AgeDown
EYA2	AgeUp
EYA4	AgeUp
F8	AgeUp
FAM111B	AgeDown
FAM133CP	AgeUp
FAM136A	AgeDown
FAM153B	AgeUp
FAM153C	AgeUp
FAM155B	AgeDown
FAM180A	AgeUp
FAM193B	AgeUp
FAM196A	AgeUp
FAM229A	AgeUp
FAM241B	AgeDown
FAM41C	AgeDown
FAM95B1	AgeUp
FBL	AgeDown
FBLN5	AgeUp
FBXO17	AgeUp
FBXO31	AgeUp
FBXO32	AgeUp
FBXO43	AgeDown
FBXW7	AgeUp
FEN1	AgeDown
FER1L4	AgeUp
FGF11	AgeUp
FGF14	AgeUp
FGF17	AgeUp
FH	AgeDown
FHDC1	AgeDown
FHL1	AgeUp
FLJ21408	AgeUp
FMO3	AgeUp
FOXA2	AgeDown
FOXA3	AgeDown
FOXC2	AgeUp
FOXD2	AgeUp
FOXD2-AS1	AgeUp
FOXL1	AgeUp
FOXM1	AgeDown
FOXO3	AgeUp
FRZB	AgeUp
FST	AgeUp
FTCDNL1	AgeDown
FUT4	AgeDown
FUT6	AgeDown
FXYD1	AgeUp
FZD5	AgeDown
GABRD	AgeUp
GABRP	AgeUp
GABRQ	AgeDown
GALE	AgeDown
GAR1	AgeDown
GAS6	AgeUp
GAS6-AS2	AgeUp
GATA5	AgeUp
GDF5	AgeUp
GDF7	AgeUp
GDNF	AgeUp
GDNF-AS1	AgeUp
GEM	AgeUp
GFPT1	AgeDown
GINS1	AgeDown
GINS2	AgeDown
GLB1L3	AgeUp
GLIS1	AgeUp
GLOD4	AgeDown
GLRX3	AgeDown
GNAT1	AgeDown
GNRH1	AgeUp
GOLGA2P9	AgeDown
GOLT1A	AgeDown
GOT1	AgeDown
GPAA1P1	AgeUp
GPAA1P2	AgeUp
GPM6B	AgeUp
GPR155	AgeUp
GPR27	AgeDown
GPR84	AgeDown
GPX3	AgeUp
GRAMD3	AgeUp
GREB1L	AgeDown
GRM2	AgeUp
GSTO2	AgeDown
GTF3C6	AgeDown
GTSE1	AgeDown
GXYLT1P3	AgeUp
GZMK	AgeUp
H2AJ	AgeUp
HAND2-AS1	AgeUp
HAS3	AgeDown
HDAC2	AgeDown
HEBP2	AgeUp
HES5	AgeDown
HES7	AgeUp
HIST1H2BD	AgeUp
HIST1H2BE	AgeUp
HJURP	AgeDown
HKDC1	AgeDown
HMBS	AgeDown
HMGB3P7	AgeUp
HMGN1	AgeDown
HMGN2P3	AgeDown
HMMR	AgeDown
HOOK1	AgeDown
HOXB-AS3	AgeUp
HOXB2	AgeUp
HOXB3	AgeUp
HOXB4	AgeUp
HOXB5	AgeUp
HOXB6	AgeUp
HPF1	AgeDown
HPR	AgeDown
HSD3B2	AgeDown
HSF4	AgeUp
HSPA1A	AgeUp
HSPA1B	AgeUp
HSPA1L	AgeUp
HSPA4L	AgeUp
HSPA7	AgeUp
HSPB1	AgeUp
HSPB6	AgeUp
HSPB7	AgeUp
HTR1F	AgeUp
HUNK	AgeDown
IARS	AgeDown
IDO1	AgeUp
IGFBP3	AgeUp
IGFBP7	AgeUp
IGHD	AgeDown
IGHD3-9	AgeUp
IGHG4	AgeUp
IGHGP	AgeUp
IGHV1-17	AgeUp
IGHV3-11	AgeDown
IGHV3-29	AgeUp
IGHV3-42	AgeUp
IGHVII-49-1	AgeUp
IGKV1-33	AgeUp
IGLV4-3	AgeDown
IGSF21	AgeUp
IL12A	AgeUp
IL13	AgeUp
IL1B	AgeDown
IL1RN	AgeDown
IL20RB	AgeUp
ILDR2	AgeUp
IMPA2	AgeDown
INMT	AgeUp
INSRR	AgeUp
INTS7	AgeDown
IQGAP3	AgeDown
IQSEC1	AgeUp
IQSEC3	AgeUp
IRX1	AgeDown
ISCU	AgeUp
ISY1	AgeDown
ITGA1	AgeUp
ITGB5	AgeUp
ITGBL1	AgeUp
ITIH3	AgeUp
ITK	AgeUp
ITPR1	AgeUp
ITPR1-AS1	AgeUp
ITPRIPL1	AgeUp
JADE2	AgeUp
JPH4	AgeUp
KALRN	AgeUp
KB-1460A1.5	AgeUp
KB-1517D11.4	AgeUp
KCNA5	AgeUp
KCNB1	AgeUp
KCNE4	AgeUp
KCNK3	AgeUp
KCNMB2-AS1	AgeUp
KCNT1	AgeUp
KIF11	AgeDown
KIF14	AgeDown
KIF15	AgeDown
KIF18B	AgeDown
KIF1A	AgeUp
KIF20A	AgeDown
KIF23	AgeDown
KIF2C	AgeDown
KIF4A	AgeDown
KIF7	AgeUp
KIFC1	AgeDown
KLC1	AgeUp
KLF17	AgeUp
KLHL30-AS1	AgeUp
KLK3	AgeDown
KNL1	AgeDown
KNSTRN	AgeDown
KRT18	AgeDown
KRT79	AgeDown
LA16c-60H5.7	AgeUp
LAMC3	AgeUp
LCAT	AgeUp
LCN10	AgeUp
LCN12	AgeDown
LDB3	AgeUp
LEFTY2	AgeUp
LGI4	AgeUp
LINC00176	AgeUp
LINC00222	AgeUp
LINC00294	AgeUp
LINC00603	AgeUp
LINC00670	AgeUp
LINC00844	AgeUp
LINC00924	AgeUp
LINC00960	AgeUp
LINC00968	AgeUp
LINC01021	AgeUp
LINC01088	AgeUp
LINC01474	AgeUp
LINC01554	AgeUp
LINC01844	AgeDown
LINC01932	AgeDown
LIPN	AgeUp
LL22NC03-N14H11.1	AgeUp
LMBR1L	AgeUp
LMOD1	AgeUp
LNCTAM34A	AgeUp
LOC440461	AgeUp
LONP1	AgeDown
LOX	AgeUp
LOXHD1	AgeUp
LRCH1	AgeUp
LRCOL1	AgeUp
LRPPRC	AgeDown
LSM5	AgeDown
LSMEM1	AgeUp
LSR	AgeDown
LTBP3	AgeUp
LURAP1	AgeUp
LY6H	AgeUp
LYZ	AgeDown
MAD2L1	AgeDown
MAD2L1BP	AgeDown
MAGOH	AgeDown
MAIP1	AgeDown
MAN2B2	AgeUp
MAP1B	AgeUp
MAP3K3	AgeUp
MAP7D3	AgeUp
MAPKAPK3	AgeDown
MARS2	AgeDown
MASP1	AgeUp
MAST3	AgeUp
MCC	AgeUp
MCM10	AgeDown
MCM2	AgeDown
MCM4	AgeDown
MDH2	AgeDown
MEF2B	AgeUp
MEF2C-AS1	AgeUp
MEG3	AgeUp
MEIOB	AgeDown
